region,round,team1,seed1,score1,team2,seed2,score2,winner,year
East,First Round,UConn,1,91,Stetson,16,52,UConn,2024
East,First Round,Florida Atlantic,8,65,Northwestern,9,77,Northwestern,2024
East,First Round,San Diego State,5,69,UAB,12,65,San Diego State,2024
East,First Round,Auburn,4,76,Yale,13,78,Yale,2024
East,First Round,BYU,6,67,Duquesne,11,71,Duquesne,2024
East,First Round,Illinois,3,85,Morehead State,14,69,Illinois,2024
East,First Round,Washington State,7,66,Drake,10,61,Washington State,2024
East,First Round,Iowa State,2,82,South Dakota State,15,65,Iowa State,2024
East,Second Round,UConn,1,75,Northwestern,9,58,UConn,2024
East,Second Round,San Diego State,5,85,Yale,13,57,San Diego State,2024
East,Second Round,Duquesne,11,63,Illinois,3,89,Illinois,2024
East,Second Round,Washington State,7,56,Iowa State,2,67,Iowa State,2024
East,Sweet Sixteen,UConn,1,82,San Diego State,5,52,UConn,2024
East,Sweet Sixteen,Illinois,3,72,Iowa State,2,69,Illinois,2024
East,Elite Eight,UConn,1,77,Illinois,3,52,UConn,2024
Midwest,First Round,Purdue,1,78,Grambling,16,50,Purdue,2024
Midwest,First Round,Utah State,8,88,TCU,9,72,Utah State,2024
Midwest,First Round,Gonzaga,5,86,McNeese State,12,65,Gonzaga,2024
Midwest,First Round,Kansas,4,93,Samford,13,89,Kansas,2024
Midwest,First Round,South Carolina,6,73,Oregon,11,87,Oregon,2024
Midwest,First Round,Creighton,3,77,Akron,14,60,Creighton,2024
Midwest,First Round,Texas,7,56,Colorado State,10,44,Texas,2024
Midwest,First Round,Tennessee,2,83,St. Peter's,15,49,Tennessee,2024
Midwest,Second Round,Purdue,1,106,Utah State,8,67,Purdue,2024
Midwest,Second Round,Gonzaga,5,89,Kansas,4,68,Gonzaga,2024
Midwest,Second Round,Oregon,11,73,Creighton,3,86,Creighton,2024
Midwest,Second Round,Texas,7,58,Tennessee,2,62,Tennessee,2024
Midwest,Sweet Sixteen,Purdue,1,80,Gonzaga,5,68,Purdue,2024
Midwest,Sweet Sixteen,Creighton,3,75,Tennessee,2,82,Tennessee,2024
Midwest,Elite Eight,Purdue,1,72,Tennessee,2,66,Purdue,2024
South,First Round,Houston,1,86,Longwood,16,46,Houston,2024
South,First Round,Nebraska,8,83,Texas A&M,9,98,Texas A&M,2024
South,First Round,Wisconsin,5,61,James Madison,12,72,James Madison,2024
South,First Round,Duke,4,64,Vermont,13,47,Duke,2024
South,First Round,Texas Tech,6,67,NC State,11,80,NC State,2024
South,First Round,Kentucky,3,76,Oakland,14,80,Oakland,2024
South,First Round,Florida,7,100,Colorado,10,102,Colorado,2024
South,First Round,Marquette,2,87,Western Kentucky,15,69,Marquette,2024
South,Second Round,Houston,1,100,Texas A&M,9,95,Houston,2024
South,Second Round,James Madison,12,55,Duke,4,93,Duke,2024
South,Second Round,NC State,11,79,Oakland,14,73,NC State,2024
South,Second Round,Colorado,10,77,Marquette,2,81,Marquette,2024
South,Sweet Sixteen,Houston,1,51,Duke,4,54,Duke,2024
South,Sweet Sixteen,NC State,11,67,Marquette,2,58,NC State,2024
South,Elite Eight,Duke,4,64,NC State,11,76,NC State,2024
West,First Round,UNC,1,90,Wagner,16,62,UNC,2024
West,First Round,Mississippi State,8,51,Michigan State,9,69,Michigan State,2024
West,First Round,Saint Mary's,5,66,Grand Canyon,12,75,Grand Canyon,2024
West,First Round,Alabama,4,109,College of Charleston,13,96,Alabama,2024
West,First Round,Clemson,6,77,New Mexico,11,56,Clemson,2024
West,First Round,Baylor,3,92,Colgate,14,67,Baylor,2024
West,First Round,Dayton,7,63,Nevada,10,60,Dayton,2024
West,First Round,Arizona,2,85,Long Beach State,15,65,Arizona,2024
West,Second Round,UNC,1,85,Michigan State,9,69,UNC,2024
West,Second Round,Grand Canyon,12,61,Alabama,4,72,Alabama,2024
West,Second Round,Clemson,6,72,Baylor,3,64,Clemson,2024
West,Second Round,Dayton,7,68,Arizona,2,78,Arizona,2024
West,Sweet Sixteen,UNC,1,87,Alabama,4,89,Alabama,2024
West,Sweet Sixteen,Clemson,6,77,Arizona,2,72,Clemson,2024
West,Elite Eight,Alabama,4,89,Clemson,6,82,Alabama,2024
National,Final Four,UConn,1,86,Alabama,4,72,UConn,2024
National,Final Four,Purdue,1,63,NC State,11,50,Purdue,2024
National,Championship,UConn,1,75,Purdue,1,60,UConn,2024
East,First Round,Purdue,1,58,FDU,16,63,FDU,2023
East,First Round,Memphis,8,65,Florida Atlantic,9,66,Florida Atlantic,2023
East,First Round,Duke,5,74,Oral Roberts,12,51,Duke,2023
East,First Round,Tennessee,4,58,Louisiana,13,55,Tennessee,2023
East,First Round,Kentucky,6,61,Providence,11,53,Kentucky,2023
East,First Round,Kansas State,3,77,Montana State,14,65,Kansas State,2023
East,First Round,Michigan State,7,72,USC,10,62,Michigan State,2023
East,First Round,Marquette,2,78,Vermont,15,61,Marquette,2023
East,Second Round,FDU,16,70,Florida Atlantic,9,78,Florida Atlantic,2023
East,Second Round,Duke,5,52,Tennessee,4,65,Tennessee,2023
East,Second Round,Kentucky,6,69,Kansas State,3,75,Kansas State,2023
East,Second Round,Michigan State,7,69,Marquette,2,60,Michigan State,2023
East,Sweet Sixteen,Florida Atlantic,9,62,Tennessee,4,55,Florida Atlantic,2023
East,Sweet Sixteen,Kansas State,3,98,Michigan State,7,93,Kansas State,2023
East,Elite Eight,Florida Atlantic,9,79,Kansas State,3,76,Florida Atlantic,2023
Midwest,First Round,Houston,1,63,Northern Kentucky,16,52,Houston,2023
Midwest,First Round,Iowa,8,75,Auburn,9,83,Auburn,2023
Midwest,First Round,Miami (FL),5,63,Drake,12,56,Miami (FL),2023
Midwest,First Round,Indiana,4,71,Kent State,13,60,Indiana,2023
Midwest,First Round,Iowa State,6,41,Pitt,11,59,Pitt,2023
Midwest,First Round,Xavier,3,72,Kennesaw State,14,67,Xavier,2023
Midwest,First Round,Texas A&M,7,59,Penn State,10,76,Penn State,2023
Midwest,First Round,Texas,2,81,Colgate,15,61,Texas,2023
Midwest,Second Round,Houston,1,81,Auburn,9,64,Houston,2023
Midwest,Second Round,Miami (FL),5,85,Indiana,4,69,Miami (FL),2023
Midwest,Second Round,Pitt,11,73,Xavier,3,84,Xavier,2023
Midwest,Second Round,Penn State,10,66,Texas,2,71,Texas,2023
Midwest,Sweet Sixteen,Houston,1,75,Miami (FL),5,89,Miami (FL),2023
Midwest,Sweet Sixteen,Xavier,3,71,Texas,2,83,Texas,2023
Midwest,Elite Eight,Miami (FL),5,88,Texas,2,81,Miami (FL),2023
South,First Round,Alabama,1,96,Texas A&M-Corpus Christi,16,75,Alabama,2023
South,First Round,Maryland,8,67,West Virginia,9,65,Maryland,2023
South,First Round,San Diego State,5,63,College of Charleston,12,57,San Diego State,2023
South,First Round,Virginia,4,67,Furman,13,68,Furman,2023
South,First Round,Creighton,6,72,NC State,11,63,Creighton,2023
South,First Round,Baylor,3,74,UCSB,14,56,Baylor,2023
South,First Round,Missouri,7,76,Utah State,10,65,Missouri,2023
South,First Round,Arizona,2,55,Princeton,15,59,Princeton,2023
South,Second Round,Alabama,1,73,Maryland,8,51,Alabama,2023
South,Second Round,San Diego State,5,75,Furman,13,52,San Diego State,2023
South,Second Round,Creighton,6,85,Baylor,3,76,Creighton,2023
South,Second Round,Missouri,7,63,Princeton,15,78,Princeton,2023
South,Sweet Sixteen,Alabama,1,64,San Diego State,5,71,San Diego State,2023
South,Sweet Sixteen,Creighton,6,86,Princeton,15,75,Creighton,2023
South,Elite Eight,San Diego State,5,57,Creighton,6,56,San Diego State,2023
West,First Round,Kansas,1,96,Howard,16,68,Kansas,2023
West,First Round,Arkansas,8,73,Illinois,9,63,Arkansas,2023
West,First Round,Saint Mary's,5,63,VCU,12,51,Saint Mary's,2023
West,First Round,UConn,4,87,Iona,13,63,UConn,2023
West,First Round,TCU,6,72,Arizona State,11,70,TCU,2023
West,First Round,Gonzaga,3,82,Grand Canyon,14,70,Gonzaga,2023
West,First Round,Northwestern,7,75,Boise State,10,67,Northwestern,2023
West,First Round,UCLA,2,86,UNC Asheville,15,53,UCLA,2023
West,Second Round,Kansas,1,71,Arkansas,8,72,Arkansas,2023
West,Second Round,Saint Mary's,5,55,UConn,4,70,UConn,2023
West,Second Round,TCU,6,81,Gonzaga,3,84,Gonzaga,2023
West,Second Round,Northwestern,7,63,UCLA,2,68,UCLA,2023
West,Sweet Sixteen,Arkansas,8,65,UConn,4,88,UConn,2023
West,Sweet Sixteen,Gonzaga,3,79,UCLA,2,76,Gonzaga,2023
West,Elite Eight,UConn,4,82,Gonzaga,3,54,UConn,2023
National,Final Four,Florida Atlantic,9,71,San Diego State,5,72,San Diego State,2023
National,Final Four,Miami (FL),5,59,UConn,4,72,UConn,2023
National,Championship,San Diego State,5,59,UConn,4,76,UConn,2023
East,First Round,Baylor,1,85,Norfolk State,16,49,Baylor,2022
East,First Round,UNC,8,95,Marquette,9,63,UNC,2022
East,First Round,Saint Mary's,5,82,Indiana,12,53,Saint Mary's,2022
East,First Round,UCLA,4,57,Akron,13,53,UCLA,2022
East,First Round,Texas,6,81,Virginia Tech,11,73,Texas,2022
East,First Round,Purdue,3,78,Yale,14,56,Purdue,2022
East,First Round,Murray State,7,92,San Francisco,10,87,Murray State,2022
East,First Round,Kentucky,2,79,St. Peter's,15,85,St. Peter's,2022
East,Second Round,Baylor,1,86,UNC,8,93,UNC,2022
East,Second Round,Saint Mary's,5,56,UCLA,4,72,UCLA,2022
East,Second Round,Texas,6,71,Purdue,3,81,Purdue,2022
East,Second Round,Murray State,7,60,St. Peter's,15,70,St. Peter's,2022
East,Sweet Sixteen,UNC,8,73,UCLA,4,66,UNC,2022
East,Sweet Sixteen,Purdue,3,64,St. Peter's,15,67,St. Peter's,2022
East,Elite Eight,UNC,8,69,St. Peter's,15,49,UNC,2022
Midwest,First Round,Kansas,1,83,Texas Southern,16,56,Kansas,2022
