,First Round,Second Round,Sweet Sixteen,Elite Eight,Final Four,Championship
1,0.99,0.85,0.79,0.59,0.62,0.65
2,0.93,0.67,0.72,0.47,0.41,0.38
3,0.86,0.62,0.49,0.44,0.65,0.36
4,0.79,0.6,0.32,0.61,0.29,0.5
5,0.65,0.53,0.23,0.75,0.44,0
6,0.62,0.47,0.36,0.19,0.67,0.5
7,0.61,0.31,0.34,0.3,0.33,1
8,0.49,0.22,0.56,0.67,0.67,0.25
9,0.51,0.1,0.63,0.4,0,0
10,0.39,0.41,0.38,0.11,0,0
11,0.38,0.45,0.35,0.56,0,0
12,0.35,0.42,0.09,0,0,0
13,0.21,0.19,0,0,0,0
14,0.14,0.09,0,0,0,0
15,0.07,0.36,0.25,0,0,0
16,0.01,0,0,0,0,0
