Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,29,15,14,0.517,-5.49,-2.33,,7,7,,9,4,,5,10,,2055,2027,,70.8,99.7,0.375,0.268,0.531,50.0,50.9,14.7,8.3,0.492,18.0,31.2,0.266
2,Air Force,30,4,26,0.133,-7.18,3.69,,1,18,,3,13,,0,13,,1876,2202,,64.8,95.7,0.362,0.474,0.527,46.7,62.2,8.6,8.2,0.503,18.6,23.0,0.229
3,Akron,30,24,6,0.8,3.27,-3.84,,16,1,,15,0,,8,4,,2516,2233,,72.8,114.7,0.251,0.464,0.579,53.1,60.1,10.3,9.7,0.554,14.8,33.2,0.188
4,Alabama,29,23,6,0.793,26.08,15.18,,12,4,,12,2,,8,3,,2639,2323,,75.9,119.4,0.411,0.472,0.597,54.6,54.6,8.0,10.4,0.566,14.7,36.1,0.296
5,Alabama A&M,29,10,19,0.345,-19.59,-9.59,,6,10,,8,9,,2,10,,2173,2310,,74.0,99.5,0.384,0.408,0.507,49.7,53.6,11.4,11.5,0.473,18.0,35.9,0.254
6,Alabama State,29,14,15,0.483,-9.67,-8.45,,10,6,,8,3,,4,10,,2164,2147,,70.0,106.1,0.305,0.431,0.512,47.4,44.1,10.8,8.4,0.48,11.1,28.7,0.211
7,Albany (NY),31,16,15,0.516,-8.91,-7.98,,8,8,,6,7,,8,7,,2316,2280,,68.6,107.7,0.291,0.355,0.532,50.8,45.9,12.0,5.5,0.501,13.4,32.8,0.21
8,Alcorn State,29,9,20,0.31,-12.66,-4.77,,9,7,,6,3,,3,17,,1884,2111,,66.4,97.4,0.313,0.297,0.493,49.4,43.9,9.9,9.0,0.454,16.6,33.7,0.225
9,American,31,19,12,0.613,-7.73,-6.04,,13,5,,11,2,,5,10,,2117,2104,,64.4,104.4,0.308,0.453,0.551,48.3,52.7,9.8,5.4,0.515,15.2,24.8,0.233
10,Appalachian State,30,17,13,0.567,-1.8,-3.26,,10,8,,10,4,,5,8,,2046,1909,,64.7,104.9,0.351,0.411,0.535,50.8,53.1,8.5,10.1,0.51,14.6,28.1,0.227
11,Arizona,30,20,10,0.667,23.24,12.77,,14,5,,13,3,,6,4,,2465,2151,,70.5,115.5,0.371,0.353,0.571,55.4,59.0,11.3,12.1,0.526,14.0,36.9,0.29
12,Arizona State,30,13,17,0.433,11.95,13.55,,4,15,,5,8,,3,8,,2243,2291,,70.2,105.2,0.358,0.432,0.556,47.9,51.8,7.8,12.5,0.521,15.8,25.4,0.259
13,Arkansas,30,18,12,0.6,16.94,11.01,,7,10,,13,4,,4,6,,2283,2105,,70.4,107.6,0.347,0.365,0.559,50.2,52.8,10.9,15.6,0.525,14.6,27.1,0.253
14,Arkansas State,31,22,9,0.71,6.16,-2.87,,13,5,,13,2,,8,5,,2460,2146,,70.6,111.5,0.328,0.452,0.535,52.3,51.9,10.4,11.4,0.499,12.8,34.2,0.239
15,Arkansas-Pine Bluff,29,6,23,0.207,-24.55,-7.81,,3,13,,4,6,,2,17,,2110,2461,,73.6,98.8,0.323,0.376,0.528,46.8,53.6,9.7,6.3,0.512,17.4,26.8,0.193
16,Army,30,16,14,0.533,-11.44,-7.08,,10,8,,12,4,,4,10,,2213,2243,,67.6,106.4,0.257,0.422,0.534,48.7,52.5,9.8,6.4,0.511,13.0,27.6,0.177
17,Auburn,30,27,3,0.9,30.55,14.82,,15,2,,13,1,,8,2,,2549,2077,,69.1,122.9,0.339,0.408,0.593,53.0,54.8,10.2,16.8,0.561,11.3,35.1,0.254
18,Austin Peay,33,14,19,0.424,-8.81,-3.1,,8,10,,8,5,,4,13,,2362,2472,,67.2,105.3,0.288,0.409,0.525,46.8,49.8,10.2,7.3,0.493,12.7,26.7,0.207
