Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,9,19,0.321,-7.45,2.05,,3.0,15.0,,7,7,,1,11,,1833,1984,,,,0.376,0.279,0.5,49.9,44.3,,9.6,0.458,17.4,,0.263
2,Akron,26,8,18,0.308,-10.69,-5.06,,3.0,15.0,,5,7,,2,10,,1614,1709,,,,0.372,0.277,0.517,51.1,54.3,,5.5,0.488,18.4,,0.241
3,Alabama,29,16,13,0.552,9.66,7.83,,7.0,9.0,,12,3,,2,9,,2192,2138,,,,0.415,0.299,0.541,51.7,43.1,,8.9,0.513,19.4,,0.271
4,Alabama State,27,14,13,0.519,-8.49,-9.7,,9.0,5.0,,9,2,,4,8,,2378,2288,,,,0.433,0.203,0.557,51.3,46.4,,2.8,0.518,20.7,,0.305
5,Alcorn State,27,7,20,0.259,-11.04,-4.58,,5.0,9.0,,3,5,,2,11,,2132,2313,,,,0.264,0.163,0.517,47.9,52.6,,7.2,0.487,19.7,,0.188
6,American,28,11,17,0.393,-0.17,1.15,,6.0,8.0,,6,5,,4,10,,2131,2168,,,,0.424,0.269,0.525,52.7,53.1,,5.6,0.477,17.7,,0.307
7,Appalachian State,28,13,15,0.464,-6.09,-4.27,,8.0,10.0,,8,5,,4,8,,2276,2295,,,,0.361,0.324,0.532,45.1,50.7,,8.4,0.503,18.0,,0.241
8,Arizona NCAA,28,24,4,0.857,20.5,8.28,,17.0,1.0,,14,1,,9,1,,2340,1998,,,,0.424,0.231,0.562,55.8,57.4,,9.9,0.53,17.6,,0.29
9,Arizona State,28,18,10,0.643,9.24,6.99,,11.0,7.0,,13,3,,4,6,,2366,2304,,,,0.296,0.386,0.519,44.1,59.1,,6.7,0.499,15.2,,0.185
10,Arkansas NCAA,31,22,9,0.71,17.72,8.3,,10.0,6.0,,12,3,,7,5,,2695,2403,,,,0.354,0.261,0.566,45.6,58.5,,7.2,0.539,15.9,,0.243
