Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,8,20,0.286,-3.61,4.77,,4.0,14.0,,7,8,,1,9,,67.2,72.5,,40.0,23.3,58.6,0.396,5.64,17.8,0.318,15.1,22.0,0.686,,33.6,11.5,6.64,3.5,19.4,19.4
2,Akron,26,8,18,0.308,-7.2,0.96,,4.0,14.0,,7,7,,1,11,,60.2,67.8,,40.0,22.0,54.5,0.405,4.19,13.0,0.322,11.9,18.3,0.65,,31.0,12.5,8.35,2.12,16.2,23.4
3,Alabama NCAA,33,23,10,0.697,15.5,6.62,,10.0,6.0,,11,4,,8,4,,73.0,64.1,,,27.0,59.7,0.453,6.27,18.7,0.335,12.6,19.6,0.644,,42.0,15.2,6.06,6.09,15.8,17.7
4,Alabama State,26,11,15,0.423,-15.92,-8.33,,8.0,6.0,,7,4,,4,7,,80.8,86.4,,,29.4,70.0,0.42,4.73,15.9,0.298,17.3,27.1,0.637,,45.3,15.7,7.04,3.04,16.2,20.4
5,Alcorn State,26,7,19,0.269,-18.09,-9.22,,4.0,10.0,,6,5,,1,11,,81.9,87.8,,,29.4,68.4,0.43,7.77,22.2,0.351,15.3,22.3,0.685,,39.4,14.6,10.4,2.54,16.9,22.7
6,American,28,9,19,0.321,-9.3,-2.48,,7.0,7.0,,4,7,,4,10,,74.6,81.4,,,25.8,62.9,0.41,8.43,22.0,0.384,14.6,21.7,0.674,,36.1,12.9,6.36,1.36,13.8,18.1
7,Appalachian State,29,9,20,0.31,-10.72,-2.94,,4.0,10.0,,4,7,,3,10,,73.3,78.8,,40.0,26.7,59.3,0.45,5.86,18.2,0.323,14.0,19.4,0.723,,35.5,15.9,7.03,3.21,17.4,19.4
8,Arizona NCAA,31,23,8,0.742,19.09,10.35,,13.0,5.0,,12,4,,10,2,,84.9,75.8,,,30.6,63.3,0.483,7.9,19.1,0.413,15.8,24.1,0.657,,41.5,18.0,7.16,3.06,17.0,18.2
9,Arizona State NCAA,33,24,9,0.727,16.7,9.0,,12.0,6.0,,14,3,,5,5,,78.3,70.6,,40.8,28.9,61.6,0.469,6.42,19.1,0.337,14.1,22.7,0.62,,35.2,18.4,10.5,5.0,16.4,18.7
10,Arkansas NCAA,39,32,7,0.821,16.91,10.51,,12.0,4.0,,14,1,,7,3,,87.6,79.9,,,31.4,67.5,0.464,9.26,23.5,0.394,15.6,23.1,0.675,,39.2,18.5,11.4,3.31,16.2,20.2
11,Arkansas State,28,8,20,0.286,-14.38,-4.92,,3.0,15.0,,4,11,,3,8,,66.2,74.0,,,24.1,60.3,0.4,4.89,16.1,0.304,13.2,19.9,0.661,,34.9,13.7,8.36,3.04,17.1,21.4
12,Army,28,12,16,0.429,-17.85,-11.26,,4.0,10.0,,10,7,,2,9,,73.5,79.4,,40.2,24.2,58.4,0.414,6.68,18.3,0.365,18.5,26.3,0.703,,35.9,12.5,5.46,1.61,15.0,21.5
13,Auburn,29,16,13,0.552,9.22,7.03,,7.0,9.0,,9,4,,5,7,,76.9,73.2,,40.0,27.0,57.3,0.472,7.66,20.9,0.366,15.2,21.2,0.715,,36.2,17.0,7.45,2.41,17.1,17.7
14,Austin Peay,29,13,16,0.448,-7.14,-4.51,,8.0,8.0,,7,5,,5,9,,75.6,76.2,,,26.7,59.1,0.452,5.14,15.3,0.336,17.0,24.3,0.702,,34.5,13.4,7.48,3.1,14.6,19.4
15,Ball State NCAA,30,19,11,0.633,5.36,2.61,,11.0,7.0,,14,1,,3,8,,77.8,72.8,,40.2,28.0,58.8,0.477,5.83,16.3,0.359,15.9,24.3,0.655,,35.3,16.5,8.9,2.83,15.7,20.3
16,Baylor,28,9,19,0.321,-6.13,-0.43,,3.0,11.0,,7,8,,2,10,,81.2,86.0,,40.2,29.3,70.4,0.416,9.46,28.0,0.338,13.1,19.8,0.661,,41.6,17.2,6.25,3.93,16.0,22.0
17,Bethune-Cookman,28,12,16,0.429,-16.65,-8.74,,9.0,7.0,,6,5,,4,10,,76.5,80.4,,,27.3,63.1,0.433,5.25,17.2,0.305,16.6,24.7,0.674,,39.6,14.8,8.04,3.5,16.5,20.1
18,Boise State,27,17,10,0.63,4.14,-0.64,,7.0,7.0,,9,4,,7,5,,71.7,66.9,,,26.2,57.6,0.455,3.89,13.3,0.292,15.4,23.9,0.642,,32.4,15.1,9.63,3.26,12.6,17.8
19,Boston College,28,9,19,0.321,1.36,5.72,,2.0,16.0,,5,7,,3,10,,72.0,76.4,,,25.3,55.6,0.456,3.93,12.3,0.319,17.5,25.1,0.697,,39.5,13.3,7.25,2.46,19.9,19.5
20,Boston University,31,15,16,0.484,-3.09,-2.56,,7.0,9.0,,8,3,,7,11,,65.5,66.5,,,23.3,54.9,0.423,3.81,12.3,0.31,15.2,22.4,0.679,,38.2,13.3,5.58,4.48,15.4,20.0
21,Bowling Green State,27,16,11,0.593,2.83,0.95,,10.0,8.0,,12,1,,3,10,,71.3,67.7,,40.2,26.7,52.9,0.505,5.37,14.9,0.362,12.5,18.7,0.668,,33.4,14.6,6.04,2.22,15.7,16.3
22,Bradley,30,20,10,0.667,8.66,3.13,,12.0,6.0,,11,3,,6,5,,71.1,65.5,,40.5,24.9,54.6,0.455,5.4,14.2,0.38,15.9,21.9,0.726,,34.9,14.5,7.53,3.1,13.1,19.4
23,Brigham Young NCAA,32,22,10,0.688,11.52,5.55,,13.0,5.0,,14,0,,4,7,,75.2,69.2,,,25.3,54.5,0.464,5.31,15.2,0.35,19.3,24.9,0.773,,35.1,15.6,7.03,3.09,14.0,18.8
24,Brown,26,13,13,0.5,-9.57,-6.65,,8.0,6.0,,7,3,,5,9,,67.8,70.8,,,23.2,54.7,0.425,6.65,17.8,0.374,14.7,21.3,0.691,,33.1,13.9,6.77,2.77,14.9,18.7
25,Bucknell,27,13,14,0.481,-7.22,-8.89,,11.0,3.0,,7,3,,5,9,,69.9,68.2,,40.0,24.9,54.0,0.462,4.89,12.6,0.387,15.1,21.1,0.715,,34.9,12.2,5.89,2.7,15.9,18.0
26,Buffalo,28,18,10,0.643,-5.56,-9.17,,12.0,6.0,,10,2,,7,8,,76.9,73.3,,40.4,28.3,63.0,0.449,6.11,19.4,0.315,14.2,20.9,0.68,,39.1,16.3,8.86,4.07,16.1,18.5
27,Butler,27,15,12,0.556,-0.94,-2.25,,8.0,7.0,,8,6,,6,4,,73.5,71.1,,40.4,25.3,54.9,0.462,4.37,12.9,0.338,18.4,29.4,0.626,,40.3,13.4,5.3,2.44,17.2,18.4
28,Cal Poly,27,1,26,0.037,-30.86,-0.75,,0.0,6.0,,1,8,,0,16,,55.3,84.2,,40.0,21.3,53.5,0.398,3.41,10.5,0.324,9.3,15.7,0.591,,30.4,10.6,7.0,1.96,22.3,22.8
29,Cal State Fullerton,27,7,20,0.259,-6.02,2.83,,5.0,13.0,,4,8,,3,9,,70.9,80.0,,40.4,24.1,59.3,0.407,5.7,17.9,0.32,17.0,25.6,0.664,,35.5,12.7,7.63,2.81,17.6,21.4
30,Cal State Northridge,28,8,20,0.286,-12.4,-1.28,,4.0,2.0,,5,6,,2,13,,71.5,81.6,,,24.8,58.6,0.423,6.29,18.3,0.344,15.6,22.4,0.696,,36.0,13.9,7.04,3.21,19.1,22.1
