Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,10,16,0.385,-5.45,2.64,2.0,12.0,7,6,3,10,68.2,69.7,40.0,23.5,54.9,0.429,7.54,19.7,0.383,13.6,20.8,0.652,11.0,33.8,13.9,6.08,3.12,14.2,21.0
2,Akron,27,17,10,0.63,5.57,-0.66,13.0,5.0,11,3,6,7,75.3,67.6,,27.1,57.3,0.472,4.0,12.9,0.31,17.2,24.7,0.695,11.6,35.0,14.5,9.48,3.37,14.3,17.6
3,Alabama,31,15,16,0.484,7.74,6.47,6.0,10.0,8,6,4,5,69.9,69.0,,25.8,63.0,0.409,6.0,18.5,0.324,12.4,17.7,0.701,16.0,40.9,11.2,7.06,5.45,15.3,18.5
4,Alabama State,28,11,17,0.393,-16.77,-10.27,6.0,10.0,8,4,2,12,68.4,73.8,,24.0,53.9,0.445,4.61,12.8,0.359,15.8,25.2,0.627,13.1,36.5,9.07,8.75,2.18,20.7,19.5
5,Alcorn State,27,12,15,0.444,-12.49,-8.28,8.0,8.0,9,2,3,11,73.9,75.6,,27.6,60.8,0.454,5.04,15.1,0.334,13.7,22.2,0.617,14.1,38.4,13.9,8.19,3.33,17.6,20.0
6,American,28,9,19,0.321,-4.91,-0.5,5.0,11.0,7,6,1,12,61.6,65.5,40.0,21.3,53.1,0.401,5.71,16.6,0.345,13.3,19.2,0.69,12.7,34.4,10.1,7.29,3.18,16.8,18.8
7,Appalachian State,29,21,8,0.724,-3.09,-5.82,13.0,2.0,12,3,7,4,72.0,66.1,,25.6,56.8,0.45,4.83,15.8,0.306,16.1,25.2,0.639,12.9,36.8,14.2,7.72,3.86,14.9,17.7
8,Arizona NCAA,35,30,5,0.857,24.56,8.36,17.0,1.0,15,0,9,2,90.8,74.6,40.1,32.7,67.1,0.488,7.69,20.4,0.377,17.6,24.6,0.716,14.7,39.2,19.3,10.1,3.23,14.3,16.5
9,Arizona State,32,18,14,0.563,7.92,7.98,8.0,10.0,14,4,4,7,84.5,84.0,,31.8,66.2,0.481,5.38,14.9,0.36,15.4,20.7,0.746,11.8,36.5,20.0,9.06,3.56,16.8,17.4
10,Arkansas NCAA,33,24,9,0.727,16.17,5.79,11.0,5.0,15,0,5,6,82.3,72.4,40.2,29.8,66.9,0.446,7.18,20.3,0.353,15.5,23.9,0.648,15.9,39.6,15.9,10.8,4.79,16.6,20.6
11,Arkansas State,29,20,9,0.69,1.22,-3.09,14.0,4.0,10,2,8,6,74.8,70.5,,26.4,57.2,0.462,7.24,18.2,0.397,14.7,20.9,0.703,10.8,33.3,15.6,6.86,3.69,15.0,19.7
12,Arkansas-Pine Bluff,27,4,23,0.148,,,3.0,13.0,2,6,1,16,,78.0,,,,,,,,,,,15.6,,,,,,
13,Army,27,8,19,0.296,-20.38,-8.19,2.0,10.0,6,7,2,11,64.1,75.1,,22.0,53.4,0.412,6.19,17.9,0.345,14.0,20.7,0.674,10.2,30.9,12.0,7.33,2.07,17.9,19.4
14,Auburn,30,16,14,0.533,7.44,5.94,7.0,9.0,11,3,4,8,68.9,67.3,,24.8,58.9,0.421,6.57,20.3,0.324,12.8,19.9,0.646,14.7,39.4,12.4,7.17,5.07,16.4,18.7
15,Austin Peay,28,17,11,0.607,-4.73,-7.23,11.0,7.0,11,2,5,7,71.9,67.5,40.2,26.5,60.1,0.441,6.57,19.7,0.333,12.4,19.0,0.652,13.8,37.1,15.2,9.61,4.46,15.5,16.8
16,Ball State,29,21,8,0.724,7.46,0.68,14.0,4.0,14,1,7,6,78.4,69.1,,29.4,62.6,0.47,4.0,13.3,0.301,15.7,23.7,0.662,14.1,34.9,14.7,12.0,2.31,14.9,20.9
17,Baylor,28,14,14,0.5,3.19,4.9,8.0,8.0,9,4,3,9,70.4,72.1,,24.1,58.2,0.415,7.75,23.2,0.334,14.3,23.1,0.619,12.9,38.7,14.1,6.75,4.14,16.2,19.4
18,Bethune-Cookman,27,1,26,0.037,-27.28,-8.94,1.0,17.0,1,11,0,14,60.9,79.2,,21.9,57.7,0.379,3.78,15.6,0.242,13.4,23.6,0.569,13.7,34.6,8.89,9.33,2.96,23.4,24.0
19,Boise State,30,17,13,0.567,2.47,-0.53,9.0,7.0,13,0,3,11,72.4,69.1,40.0,24.5,53.1,0.462,7.37,18.7,0.394,15.9,22.2,0.719,10.0,27.9,14.5,9.6,2.83,16.3,21.3
20,Boston College,31,15,16,0.484,5.14,6.47,6.0,12.0,10,6,4,7,69.9,70.9,40.3,25.5,56.6,0.45,5.58,16.5,0.338,13.3,20.6,0.644,12.5,35.7,13.1,7.68,3.52,16.0,16.8
21,Boston University,30,19,11,0.633,-0.03,-2.53,12.0,6.0,10,2,6,8,70.0,67.5,,23.9,54.8,0.437,5.9,16.4,0.359,16.3,24.8,0.656,12.4,37.5,15.3,6.97,2.9,15.8,20.4
22,Bowling Green State,26,10,16,0.385,-3.2,0.96,7.0,11.0,7,5,2,11,68.3,71.4,40.0,22.8,53.6,0.425,7.04,19.3,0.365,15.7,22.0,0.714,11.0,31.3,12.4,6.77,1.69,15.3,18.9
23,Bradley,29,15,14,0.517,4.23,2.12,9.0,9.0,9,4,4,9,64.6,61.1,,22.6,51.3,0.441,4.17,11.5,0.363,15.1,22.2,0.682,10.8,36.6,14.9,6.76,4.0,15.1,17.5
24,Brigham Young,30,9,21,0.3,-0.11,6.12,4.0,10.0,4,11,4,8,63.5,69.8,,19.6,52.4,0.375,6.47,21.3,0.304,17.8,25.0,0.713,12.7,35.3,11.8,6.47,2.4,16.2,21.3
25,Brown,26,6,20,0.231,-17.26,-5.95,3.0,11.0,4,8,1,10,56.8,68.2,,19.3,50.5,0.382,4.77,15.5,0.307,13.5,20.9,0.643,10.0,32.9,10.5,4.81,1.5,14.6,18.5
26,Bucknell,28,13,15,0.464,-6.82,-6.82,8.0,4.0,8,3,4,9,69.5,68.6,,24.1,53.4,0.452,6.71,18.6,0.362,14.5,21.1,0.688,11.5,34.6,12.5,6.25,3.25,16.8,19.2
27,Buffalo,28,15,13,0.536,-6.2,-6.39,9.0,7.0,8,4,5,8,74.9,72.6,,25.3,56.2,0.45,6.07,18.0,0.337,18.2,25.0,0.728,10.6,34.6,15.8,6.25,2.39,12.9,17.6
28,Butler NCAA,33,22,11,0.667,4.87,2.77,8.0,6.0,13,1,5,8,67.5,62.2,40.5,22.1,49.8,0.445,4.61,14.5,0.318,18.7,28.2,0.663,11.2,35.2,12.1,5.36,2.91,14.9,18.5
29,Cal Poly,28,14,14,0.5,-7.96,-3.48,7.0,9.0,11,4,3,10,84.5,85.6,,28.0,62.8,0.445,8.79,23.4,0.376,19.8,28.3,0.702,12.4,35.7,14.5,7.57,2.25,14.9,20.3
30,Cal State Fullerton,28,12,16,0.429,-3.54,-0.98,6.0,10.0,7,6,4,9,73.4,74.5,40.4,26.0,59.8,0.435,6.5,18.0,0.362,14.9,24.3,0.615,13.6,36.3,13.1,8.0,3.39,17.3,20.4
31,Cal State Northridge,28,12,16,0.429,-1.35,-3.27,7.0,9.0,7,4,3,11,84.1,80.1,,28.5,62.9,0.453,8.61,23.0,0.375,18.6,26.8,0.696,14.8,38.8,16.7,8.11,2.64,18.3,24.7
32,California,27,12,15,0.444,8.33,7.95,8.0,10.0,9,5,3,10,70.3,69.5,,25.6,58.4,0.438,3.7,12.1,0.305,15.4,22.9,0.675,12.2,35.5,11.9,8.41,3.59,15.6,19.2
33,Campbell,27,10,17,0.37,-18.24,-7.74,4.0,12.0,6,8,4,9,63.9,71.1,,21.9,54.1,0.405,6.85,20.0,0.343,13.2,20.3,0.65,12.4,36.1,13.5,6.44,4.33,17.6,18.6
34,Canisius,27,13,14,0.481,-3.12,-0.49,9.0,9.0,7,5,5,7,68.3,70.9,,23.8,54.9,0.433,5.74,16.6,0.345,15.0,22.2,0.675,13.2,35.3,14.3,5.37,2.63,14.1,17.7
35,Centenary (LA),30,10,20,0.333,-12.14,-7.41,8.0,8.0,6,5,4,12,69.1,73.8,,24.3,55.5,0.439,5.6,15.1,0.37,14.8,23.3,0.634,,35.7,12.7,7.53,2.5,,21.1
36,Central Connecticut State,26,4,22,0.154,-17.57,-6.29,3.0,13.0,2,8,1,12,65.6,76.8,,24.2,59.1,0.409,5.73,16.7,0.344,11.5,17.2,0.671,13.8,36.8,12.3,7.62,3.38,19.2,20.7
