Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Air Force,32,18,14,0.563,4.06,4.16,8.0,8.0,13,2,3,11,70.0,67.8,40.2,23.9,53.2,0.449,7.0,22.0,0.319,13.1,19.4,0.673,10.2,32.9,14.3,5.63,3.13,12.9,16.6
2,Akron NCAA,33,26,7,0.788,8.12,0.18,14.0,2.0,15,1,7,4,71.8,62.8,40.6,21.9,55.5,0.395,5.33,16.5,0.324,13.6,19.1,0.714,10.8,32.1,10.8,6.94,2.91,13.6,18.8
3,Alabama,36,23,13,0.639,9.82,5.96,12.0,6.0,16,4,4,8,63.0,58.4,40.4,20.8,51.5,0.405,5.11,16.6,0.308,11.6,16.7,0.694,10.9,33.4,10.0,5.61,3.75,14.5,16.4
4,Alabama A&M,31,11,20,0.355,-18.41,-9.82,6.0,12.0,7,6,3,12,63.1,69.7,40.5,25.3,56.5,0.447,5.26,15.0,0.35,13.9,21.1,0.66,10.9,36.3,12.6,7.35,3.42,12.4,18.0
5,Alabama State,32,10,22,0.313,-17.9,-9.03,8.0,10.0,7,5,3,14,61.8,69.7,40.3,24.4,56.5,0.431,6.72,19.3,0.347,14.3,21.4,0.666,12.3,36.6,13.4,7.94,3.22,13.4,16.6
6,Albany (NY) NCAA,35,24,11,0.686,-0.86,-4.51,9.0,7.0,11,4,11,5,64.3,60.7,40.1,22.5,52.8,0.426,6.06,18.3,0.331,9.63,14.7,0.656,9.26,30.5,10.5,6.06,3.4,12.5,19.0
7,Alcorn State,34,10,24,0.294,-14.27,-7.11,8.0,10.0,5,8,4,14,60.4,66.1,40.2,21.8,55.2,0.394,5.56,17.9,0.31,17.0,25.8,0.659,12.4,36.4,10.8,6.79,3.53,13.1,17.8
8,American,30,10,20,0.333,-8.55,-2.52,5.0,9.0,7,6,3,14,57.8,63.9,40.5,23.2,52.5,0.441,7.6,18.5,0.411,9.93,14.6,0.679,8.67,31.2,13.9,6.5,3.7,9.37,15.6
9,Appalachian State,31,15,16,0.484,-7.88,-5.74,10.0,8.0,10,4,4,11,71.3,71.6,41.0,26.3,57.5,0.457,5.55,16.9,0.329,13.6,19.6,0.692,10.4,35.0,13.2,7.39,3.39,13.6,18.7
10,Arizona NCAA,35,27,8,0.771,17.31,7.48,12.0,6.0,14,2,7,4,73.4,63.6,40.1,22.4,54.5,0.411,6.03,16.8,0.358,12.8,18.0,0.711,9.17,30.0,11.0,6.14,3.2,13.3,17.8
11,Arizona State,35,22,13,0.629,8.82,4.57,9.0,9.0,16,4,4,7,71.8,67.5,40.7,24.6,59.9,0.41,6.49,19.2,0.337,11.8,16.0,0.741,11.3,35.7,12.8,6.89,3.31,12.4,19.1
12,Arkansas,32,19,13,0.594,9.83,4.99,10.0,8.0,17,1,1,9,73.7,68.8,40.3,23.3,53.9,0.433,6.34,17.7,0.359,15.8,23.9,0.661,11.6,37.5,12.0,5.25,3.91,17.5,18.3
13,Arkansas State,31,19,12,0.613,0.79,-4.34,12.0,8.0,13,2,5,9,68.6,62.7,41.1,22.2,53.7,0.412,5.52,16.8,0.328,12.9,18.9,0.68,10.6,35.2,10.5,6.26,2.97,15.9,20.0
14,Arkansas-Pine Bluff,30,16,14,0.533,-12.21,-8.28,15.0,3.0,9,0,6,12,62.7,66.6,40.2,22.5,55.7,0.404,7.2,22.7,0.317,14.3,21.0,0.683,12.5,37.9,14.7,7.23,3.23,16.2,17.1
15,Army,31,16,15,0.516,-1.48,-4.51,8.0,6.0,9,4,6,10,72.4,68.1,40.4,23.5,56.4,0.417,6.97,19.8,0.351,14.1,20.7,0.68,10.7,33.5,12.8,6.81,3.45,12.9,18.7
16,Auburn,32,9,23,0.281,0.23,4.2,3.0,15.0,7,10,1,9,64.8,68.8,40.8,23.1,53.7,0.43,7.19,20.8,0.345,15.5,23.1,0.671,10.2,35.2,13.5,6.59,3.66,13.4,18.4
17,Austin Peay,31,8,23,0.258,-12.31,-4.28,4.0,12.0,5,8,2,12,71.5,76.5,40.8,28.4,62.2,0.456,6.97,20.1,0.346,12.7,17.7,0.719,12.5,36.1,15.9,8.68,3.03,13.0,19.3
18,Ball State,30,15,15,0.5,-6.7,-3.14,8.0,8.0,8,8,7,6,65.2,68.0,40.0,23.9,53.5,0.446,6.57,18.8,0.349,13.7,19.4,0.709,9.73,31.7,14.0,7.4,2.9,12.9,20.2
