Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,North Carolina,ACC,,32,4,91.3,74.9,16.39,,8.71,,21.94,2.54,24.48,,,
2,Nevada-Las Vegas,PCAA,,37,2,92.6,75.5,17.10,,6.09,,23.09,0.02,23.11,,,
3,Indiana,Big Ten,,30,4,82.5,70.9,11.59,,9.10,,13.88,6.82,20.69,,,
4,Iowa,Big Ten,,30,5,87.3,74.4,12.89,,7.98,,15.80,4.79,20.59,,,
5,Florida,SEC,,23,11,84.2,71.9,12.35,,8.16,,15.83,4.54,20.37,,,
6,Alabama,SEC,,28,5,80.0,69.9,10.12,,8.98,,12.33,7.08,19.41,,,
7,Purdue,Big Ten,,25,5,81.7,70.6,11.07,,8.11,,12.02,6.12,18.14,,,
8,Illinois,Big Ten,,23,8,80.3,70.4,9.87,,8.66,,10.38,7.67,18.05,,,
9,Syracuse,Big East,,31,7,82.8,72.8,9.97,,8.23,,13.00,4.98,17.98,,,
10,Georgetown,Big East,,29,5,77.8,64.2,13.53,,8.02,,5.39,11.80,17.19,,,
11,Duke,ACC,,24,9,77.2,67.3,9.88,,7.17,,7.64,9.18,16.82,,,
12,Oklahoma,Big 8,,24,10,89.1,80.1,8.94,,7.89,,20.42,-3.63,16.80,,,
13,Pittsburgh,Big East,,25,8,84.3,72.8,11.52,,7.26,,14.60,2.00,16.60,,,
14,Clemson,ACC,,25,6,86.1,71.5,14.61,,3.55,,15.99,0.59,16.59,,,
15,DePaul,Ind,,28,3,76.2,62.5,13.68,,2.66,,6.75,9.55,16.31,,,
16,Providence,Big East,,25,9,86.6,77.1,9.41,,5.47,,17.06,-1.94,15.11,,,
17,Michigan,Big Ten,,20,12,88.2,79.3,8.84,,8.74,,16.86,-1.82,15.04,,,
18,Ohio State,Big Ten,,20,13,84.9,77.9,6.97,,8.48,,14.94,-0.28,14.67,,,
19,Memphis,Metro,,26,8,75.0,65.4,9.62,,4.30,,3.95,9.94,13.89,,,
20,Auburn,SEC,,18,13,79.9,75.0,4.94,,8.95,,12.11,1.77,13.88,,,
21,Virginia,ACC,,21,10,74.2,68.4,5.84,,7.77,,4.32,9.29,13.61,,,
22,Tennessee,SEC,,14,15,75.9,70.1,5.79,,7.79,,8.05,5.53,13.58,,,
23,Arizona,Pac-10,,18,12,75.6,68.8,6.80,,6.63,,6.55,6.94,13.49,,,
24,Kansas,Big 8,,25,11,73.7,67.7,6.00,,7.71,,3.99,9.35,13.33,,,
25,Temple,A-10,,32,4,74.9,64.7,10.22,,2.90,,3.41,9.77,13.18,,,
26,UCLA,Pac-10,,25,7,77.9,71.7,6.19,,6.87,,10.86,2.20,13.05,,,
27,Western Kentucky,Sun Belt,,29,9,78.7,67.9,10.74,,2.45,,7.43,5.48,12.91,,,
28,TCU,SWC,,24,7,70.9,63.6,7.26,,5.66,,3.47,9.35,12.83,,,
29,St. John's (NY),Big East,,21,9,69.8,64.6,5.17,,7.26,,-0.76,13.22,12.46,,,
30,Louisiana State,SEC,,24,15,71.4,68.3,3.08,,10.58,,2.63,9.26,11.89,,,
31,Houston,SWC,,18,12,67.9,60.6,7.33,,4.50,,-1.26,13.08,11.82,,,
32,Notre Dame,Ind,,24,8,65.1,59.4,5.66,,6.03,,-5.45,17.17,11.72,,,
33,Georgia,SEC,,18,12,73.9,68.9,5.07,,8.91,,4.38,7.03,11.41,,,
34,Kentucky,SEC,,18,11,67.8,67.0,0.72,,10.60,,0.23,11.10,11.33,,,
35,Missouri,Big 8,,24,10,74.2,68.7,5.44,,6.37,,5.41,5.90,11.31,,,
36,Georgia Tech,ACC,,16,13,70.7,68.5,2.24,,8.99,,2.57,8.66,11.23,,,
37,New Orleans,Ind,,26,4,81.7,69.8,11.90,,-0.80,,9.58,1.55,11.13,,,
38,NC State,ACC,,20,15,77.5,74.8,2.71,,8.08,,8.31,2.71,11.03,,,
39,UTEP,WAC,,25,7,77.4,69.0,8.47,,2.60,,7.20,3.78,10.99,,,
40,Kansas State,Big 8,,20,11,78.8,72.2,6.61,,7.16,,7.85,2.74,10.59,,,
41,Vanderbilt,SEC,,18,16,73.5,72.7,0.82,,9.78,,5.84,4.35,10.19,,,
