region,round,team1,seed1,score1,team2,seed2,score2,winner
East,First Round,UNC,1,113,Mount St. Mary's,16,74,UNC
East,First Round,Indiana,8,72,Arkansas,9,86,Arkansas
East,First Round,Notre Dame,5,68,George Mason,12,50,Notre Dame
East,First Round,Washington State,4,71,Winthrop,13,40,Washington State
East,First Round,Oklahoma,6,72,St. Joseph's,11,64,Oklahoma
East,First Round,Louisville,3,79,Boise State,14,61,Louisville
East,First Round,Butler,7,81,South Alabama,10,61,Butler
East,First Round,Tennessee,2,72,American,15,57,Tennessee
East,Second Round,UNC,1,108,Arkansas,9,77,UNC
East,Second Round,Notre Dame,5,41,Washington State,4,61,Washington State
East,Second Round,Oklahoma,6,48,Louisville,3,78,Louisville
East,Second Round,Butler,7,71,Tennessee,2,76,Tennessee
East,Sweet Sixteen,UNC,1,68,Washington State,4,47,UNC
East,Sweet Sixteen,Louisville,3,79,Tennessee,2,60,Louisville
East,Elite Eight,UNC,1,83,Louisville,3,73,UNC
Midwest,First Round,Kansas,1,85,Portland State,16,61,Kansas
Midwest,First Round,UNLV,8,71,Kent State,9,58,UNLV
Midwest,First Round,Clemson,5,69,Villanova,12,75,Villanova
Midwest,First Round,Vanderbilt,4,62,Siena,13,83,Siena
Midwest,First Round,USC,6,67,Kansas State,11,80,Kansas State
Midwest,First Round,Wisconsin,3,71,Cal State Fullerton,14,56,Wisconsin
Midwest,First Round,Gonzaga,7,76,Davidson,10,82,Davidson
Midwest,First Round,Georgetown,2,66,UMBC,15,47,Georgetown
Midwest,Second Round,Kansas,1,75,UNLV,8,56,Kansas
Midwest,Second Round,Villanova,12,84,Siena,13,72,Villanova
Midwest,Second Round,Kansas State,11,55,Wisconsin,3,72,Wisconsin
Midwest,Second Round,Davidson,10,74,Georgetown,2,70,Davidson
Midwest,Sweet Sixteen,Kansas,1,72,Villanova,12,57,Kansas
Midwest,Sweet Sixteen,Wisconsin,3,56,Davidson,10,73,Davidson
Midwest,Elite Eight,Kansas,1,59,Davidson,10,57,Kansas
South,First Round,Memphis,1,87,UT Arlington,16,63,Memphis
South,First Round,Mississippi State,8,76,Oregon,9,69,Mississippi State
South,First Round,Michigan State,5,72,Temple,12,61,Michigan State
South,First Round,Pitt,4,82,Oral Roberts,13,63,Pitt
South,First Round,Marquette,6,74,Kentucky,11,66,Marquette
South,First Round,Stanford,3,77,Cornell,14,53,Stanford
South,First Round,Miami (FL),7,78,Saint Mary's,10,64,Miami (FL)
South,First Round,Texas,2,74,Austin Peay,15,54,Texas
South,Second Round,Memphis,1,77,Mississippi State,8,74,Memphis
South,Second Round,Michigan State,5,65,Pitt,4,54,Michigan State
South,Second Round,Marquette,6,81,Stanford,3,82,Stanford
South,Second Round,Miami (FL),7,72,Texas,2,75,Texas
South,Sweet Sixteen,Memphis,1,92,Michigan State,5,74,Memphis
South,Sweet Sixteen,Stanford,3,62,Texas,2,82,Texas
South,Elite Eight,Memphis,1,85,Texas,2,67,Memphis
West,First Round,UCLA,1,70,Mississippi Valley State,16,29,UCLA
West,First Round,BYU,8,62,Texas A&M,9,67,Texas A&M
West,First Round,Drake,5,99,Western Kentucky,12,101,Western Kentucky
West,First Round,UConn,4,69,San Diego,13,70,San Diego
West,First Round,Purdue,6,90,Baylor,11,79,Purdue
West,First Round,Xavier,3,73,Georgia,14,61,Xavier
West,First Round,West Virginia,7,75,Arizona,10,65,West Virginia
West,First Round,Duke,2,71,Belmont,15,70,Duke
West,Second Round,UCLA,1,51,Texas A&M,9,49,UCLA
West,Second Round,Western Kentucky,12,72,San Diego,13,63,Western Kentucky
West,Second Round,Purdue,6,78,Xavier,3,85,Xavier
West,Second Round,West Virginia,7,73,Duke,2,67,West Virginia
West,Sweet Sixteen,UCLA,1,88,Western Kentucky,12,78,UCLA
West,Sweet Sixteen,Xavier,3,79,West Virginia,7,75,Xavier
West,Elite Eight,UCLA,1,76,Xavier,3,57,UCLA
National,Final Four,Kansas,1,84,UNC,1,66,Kansas
National,Final Four,UCLA,1,63,Memphis,1,78,Memphis
National,Championship,Kansas,1,75,Memphis,1,68,Kansas
