Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_eFG%,Opp_TOV%,Opp_ORB%,Opp_FT/FGA
1,Abilene Christian,29,15,14,0.517,-5.49,-2.33,,7,7,,9,4,,5,10,,2055,2027,,70.8,98.3,0.486,0.357,0.545,50.0,52.2,11.3,10.1,0.5,20.9,30.2,0.341
2,Air Force,30,4,26,0.133,-7.18,3.69,,1,18,,3,13,,0,13,,1876,2202,,64.8,112.3,0.355,0.354,0.571,53.3,47.3,10.4,12.4,0.543,13.8,29.0,0.248
3,Akron,30,24,6,0.8,3.27,-3.84,,16,1,,15,0,,8,4,,2516,2233,,72.8,101.8,0.329,0.38,0.521,46.9,45.2,10.1,7.0,0.486,15.0,27.9,0.234
4,Alabama,29,23,6,0.793,26.08,15.18,,12,4,,12,2,,8,3,,2639,2323,,75.9,105.1,0.33,0.35,0.509,45.4,42.5,10.5,12.4,0.471,11.6,29.4,0.235
5,Alabama A&M,29,10,19,0.345,-19.59,-9.59,,6,10,,8,9,,2,10,,2173,2310,,74.0,105.8,0.482,0.377,0.565,50.3,58.1,12.0,8.1,0.528,19.1,34.4,0.331
6,Alabama State,29,14,15,0.483,-9.67,-8.45,,10,6,,8,3,,4,10,,2164,2147,,70.0,105.3,0.393,0.399,0.543,52.6,49.4,7.3,8.8,0.507,16.2,31.5,0.275
7,Albany (NY),31,16,15,0.516,-8.91,-7.98,,8,8,,6,7,,8,7,,2316,2280,,68.6,106.0,0.363,0.352,0.577,49.2,49.8,8.2,11.4,0.545,18.3,27.9,0.264
8,Alcorn State,29,9,20,0.31,-12.66,-4.77,,9,7,,6,3,,3,17,,1884,2111,,66.4,109.1,0.332,0.461,0.557,50.6,61.1,10.4,11.0,0.524,15.8,33.8,0.243
9,American,31,19,12,0.613,-7.73,-6.04,,13,5,,11,2,,5,10,,2117,2104,,64.4,103.8,0.367,0.341,0.545,51.7,50.1,9.1,9.1,0.512,16.0,27.5,0.255
10,Appalachian State,30,17,13,0.567,-1.8,-3.26,,10,8,,10,4,,5,8,,2046,1909,,64.7,97.9,0.219,0.391,0.478,49.2,48.9,10.5,10.6,0.448,12.5,28.5,0.16
11,Arizona,30,20,10,0.667,23.24,12.77,,14,5,,13,3,,6,4,,2465,2151,,70.5,100.8,0.294,0.421,0.514,44.6,53.5,9.4,6.4,0.481,14.9,27.9,0.211
12,Arizona State,30,13,17,0.433,11.95,13.55,,4,15,,5,8,,3,8,,2243,2291,,70.2,107.4,0.315,0.401,0.54,52.1,54.4,10.9,11.3,0.502,14.1,30.7,0.237
13,Arkansas,30,18,12,0.6,16.94,11.01,,7,10,,13,4,,4,6,,2283,2105,,70.4,99.2,0.293,0.394,0.514,49.8,49.4,9.4,6.9,0.48,15.8,28.3,0.212
14,Arkansas State,31,22,9,0.71,6.16,-2.87,,13,5,,13,2,,8,5,,2460,2146,,70.6,97.2,0.358,0.35,0.493,47.7,50.2,9.1,9.7,0.452,15.1,29.9,0.25
15,Arkansas-Pine Bluff,29,6,23,0.207,-24.55,-7.81,,3,13,,4,6,,2,17,,2110,2461,,73.6,115.3,0.409,0.449,0.58,53.2,58.9,12.5,8.9,0.553,14.5,32.6,0.279
16,Army,30,16,14,0.533,-11.44,-7.08,,10,8,,12,4,,4,10,,2213,2243,,67.6,107.8,0.265,0.421,0.55,51.3,53.3,8.8,8.5,0.527,14.7,29.2,0.184
17,Auburn,30,27,3,0.9,30.55,14.82,,15,2,,13,1,,8,2,,2549,2077,,69.1,100.1,0.391,0.344,0.505,47.0,40.1,8.7,7.7,0.456,14.9,30.5,0.285
18,Austin Peay,33,14,19,0.424,-8.81,-3.1,,8,10,,8,5,,4,13,,2362,2472,,67.2,110.2,0.356,0.362,0.566,53.2,51.6,8.3,13.0,0.533,15.2,30.9,0.259
19,Ball State,30,14,16,0.467,-7.39,-6.36,,7,10,,8,7,,4,8,,2270,2221,,68.9,106.6,0.309,0.397,0.539,49.2,51.9,9.3,8.1,0.506,12.9,27.0,0.224
20,Baylor,30,18,12,0.6,19.16,12.99,,10,9,,13,2,,3,9,,2318,2085,,66.6,102.2,0.337,0.4,0.538,47.6,60.7,9.2,11.3,0.507,17.0,30.4,0.234
21,Bellarmine,31,5,26,0.161,-14.55,-4.17,,2,16,,5,10,,0,16,,2252,2484,,67.6,117.6,0.335,0.464,0.601,53.5,54.7,10.0,7.1,0.57,13.4,28.6,0.253
22,Belmont,31,21,10,0.677,1.78,-0.22,,13,7,,11,5,,9,4,,2492,2409,,70.7,109.5,0.27,0.429,0.566,51.2,55.4,9.7,10.0,0.541,15.4,29.4,0.196
23,Bethune-Cookman,30,15,15,0.5,-9.25,-5.75,,12,5,,7,2,,7,12,,2070,2175,,69.7,103.9,0.327,0.376,0.524,50.1,52.9,11.3,10.4,0.487,14.4,30.7,0.235
24,Binghamton,31,15,16,0.484,-12.91,-8.49,,7,9,,9,4,,5,11,,2167,2218,,66.9,105.7,0.331,0.391,0.525,47.5,45.1,11.9,10.8,0.489,11.7,25.8,0.236
25,Boise State,30,22,8,0.733,14.44,4.96,,14,5,,13,1,,6,5,,2283,1973,,66.4,98.7,0.296,0.361,0.519,43.9,43.5,7.7,10.2,0.491,14.7,22.5,0.202
26,Boston College,29,12,17,0.414,0.4,4.95,,4,14,,9,7,,0,9,,2046,2178,,66.9,109.0,0.371,0.355,0.55,50.4,47.9,9.4,8.0,0.514,13.5,29.2,0.265
27,Boston University,31,16,15,0.516,-10.25,-7.82,,10,8,,12,3,,3,12,,2070,2105,,64.1,104.3,0.311,0.41,0.555,45.8,53.7,11.1,9.4,0.521,15.3,22.7,0.232
28,Bowling Green State,30,14,16,0.467,-8.6,-5.99,,8,9,,8,7,,5,8,,2222,2206,,70.2,104.8,0.301,0.424,0.552,50.7,54.9,8.5,12.0,0.513,16.1,27.1,0.236
29,Bradley,31,24,7,0.774,6.89,-0.07,,15,5,,13,3,,8,3,,2424,2149,,67.1,101.7,0.349,0.428,0.518,48.4,51.0,10.4,7.0,0.477,14.5,27.6,0.253
30,Brigham Young,30,22,8,0.733,20.07,8.8,,13,6,,14,2,,6,5,,2437,2099,,67.7,101.3,0.299,0.44,0.533,44.9,53.5,9.5,8.1,0.503,15.3,24.6,0.211
31,Brown,26,14,12,0.538,-4.7,-4.1,,6,7,,8,5,,6,7,,1889,1863,,67.5,104.6,0.288,0.377,0.521,49.8,46.8,9.9,9.8,0.49,13.8,30.6,0.203
32,Bryant,31,20,11,0.645,-2.19,-7.16,,14,2,,9,3,,10,7,,2545,2300,,73.4,100.7,0.287,0.357,0.508,47.1,43.1,8.8,5.2,0.473,14.3,29.0,0.209
33,Bucknell,31,17,14,0.548,-4.56,-5.56,,13,5,,11,3,,6,10,,2290,2259,,67.6,103.3,0.342,0.408,0.533,50.1,50.3,10.9,9.1,0.504,15.0,27.8,0.233
34,Buffalo,30,9,21,0.3,-14.81,-3.81,,4,13,,6,9,,3,12,,2156,2420,,73.4,109.8,0.298,0.363,0.565,52.8,53.3,11.9,10.1,0.537,15.2,30.2,0.216
35,Butler,29,13,16,0.448,11.23,9.78,,6,12,,9,7,,2,8,,2153,2111,,67.2,107.8,0.218,0.363,0.517,48.5,48.2,10.3,10.5,0.488,9.7,27.9,0.164
36,Cal Poly,30,12,18,0.4,-3.2,0.9,,6,12,,8,5,,4,13,,2430,2516,,75.2,109.7,0.315,0.395,0.561,52.1,49.1,12.8,10.0,0.526,15.8,33.4,0.238
37,Cal State Bakersfield,31,13,18,0.419,-5.61,-1.43,,7,12,,8,6,,4,11,,2292,2295,,67.8,108.4,0.451,0.414,0.575,47.0,51.7,8.2,7.6,0.53,17.0,29.3,0.337
38,Cal State Fullerton,30,6,24,0.2,-14.72,1.21,,1,17,,4,10,,2,14,,1904,2311,,68.6,112.4,0.342,0.445,0.571,51.6,56.4,12.0,9.8,0.536,14.6,30.3,0.254
39,Cal State Northridge,29,21,8,0.724,3.65,-3.39,,13,5,,9,3,,10,5,,2347,2074,,72.8,97.8,0.435,0.502,0.54,43.4,60.8,10.7,7.0,0.488,18.7,22.9,0.329
40,California,29,13,16,0.448,6.0,6.86,,6,12,,11,6,,2,9,,2161,2186,,68.1,109.7,0.315,0.32,0.558,48.3,43.6,9.6,10.5,0.526,14.2,29.6,0.232
41,California Baptist,28,14,14,0.5,-0.55,-1.33,,7,7,,9,5,,4,8,,2021,1999,,68.0,103.6,0.338,0.313,0.538,48.5,41.0,9.4,8.9,0.507,15.7,29.2,0.233
42,Campbell,31,15,16,0.484,-4.3,-4.44,,10,8,,8,6,,7,10,,2184,2090,,66.6,100.8,0.31,0.374,0.539,51.9,52.6,9.2,9.7,0.512,17.5,27.5,0.212
43,Canisius,29,3,26,0.103,-18.2,-4.65,,3,15,,1,12,,2,13,,1896,2289,,66.1,119.4,0.313,0.406,0.602,58.7,59.2,9.3,10.0,0.573,14.3,34.8,0.237
44,Central Arkansas,33,9,24,0.273,-14.44,-3.57,,4,14,,7,7,,1,17,,2318,2578,,67.9,112.4,0.218,0.521,0.578,50.7,60.8,11.0,11.8,0.559,14.8,28.9,0.157
45,Central Connecticut State,29,23,6,0.793,-3.52,-10.27,,14,2,,11,2,,12,3,,2107,1827,,66.6,94.6,0.176,0.414,0.498,47.3,51.9,9.3,5.7,0.479,16.3,24.8,0.121
46,Central Michigan,30,14,16,0.467,-3.63,-1.94,,7,10,,8,5,,6,10,,2260,2154,,69.8,102.9,0.3,0.433,0.537,47.2,53.9,9.1,8.5,0.509,16.1,27.6,0.21
47,Charleston Southern,31,10,21,0.323,-10.13,-1.86,,6,10,,7,5,,3,14,,2247,2423,,69.7,110.8,0.322,0.291,0.555,48.1,42.3,10.3,10.3,0.527,12.1,27.2,0.225
48,Charlotte,29,10,19,0.345,-5.32,-0.39,,3,13,,8,7,,1,11,,2061,2177,,65.7,111.8,0.357,0.348,0.566,52.9,46.0,8.1,10.6,0.538,12.9,28.9,0.247
49,Chattanooga,31,23,8,0.742,1.16,-3.94,,15,3,,13,3,,10,5,,2449,2234,,67.7,105.6,0.335,0.407,0.535,49.9,49.7,8.8,8.9,0.503,13.8,28.5,0.235
50,Chicago State,31,4,27,0.129,-20.59,-4.27,,4,12,,3,7,,1,18,,1944,2450,,69.3,113.2,0.38,0.398,0.583,56.6,58.1,9.9,8.6,0.551,15.8,33.0,0.274
51,Cincinnati,29,17,12,0.586,15.65,9.58,,7,11,,12,4,,4,8,,2069,1893,,65.7,99.3,0.242,0.348,0.514,48.8,49.1,8.6,8.4,0.481,16.5,29.7,0.185
52,Clemson,29,24,5,0.828,19.04,7.83,,16,2,,14,2,,8,3,,2246,1921,,64.8,99.7,0.274,0.385,0.519,48.0,43.4,8.9,7.9,0.492,17.1,30.4,0.189
53,Cleveland State,31,20,11,0.645,-1.68,-3.9,,14,6,,13,4,,7,7,,2281,2059,,67.2,98.5,0.379,0.395,0.534,49.0,55.8,9.4,9.4,0.497,20.0,32.5,0.267
