Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,29,15,14,0.517,-5.49,-2.33,,7,7,,9,4,,5,10,,70.9,69.9,,40.2,25.6,56.7,0.451,4.69,15.2,0.309,15.1,21.2,0.709,10.6,33.1,13.0,10.4,2.79,14.6,20.4
2,Air Force,30,4,26,0.133,-7.18,3.69,,1,18,,3,13,,0,13,,62.5,73.4,,40.3,21.4,50.6,0.424,8.07,24.0,0.337,11.6,18.3,0.634,7.47,30.0,13.3,5.6,2.9,13.5,18.0
3,Akron,30,24,6,0.8,3.27,-3.84,,16,1,,15,0,,8,4,,83.9,74.4,,40.2,30.4,64.7,0.47,10.8,30.0,0.36,12.2,16.2,0.752,12.1,39.5,18.3,7.53,3.7,12.6,18.2
4,Alabama,29,23,6,0.793,26.08,15.18,,12,4,,12,2,,8,3,,91.0,80.1,,40.2,30.8,63.8,0.483,10.6,30.1,0.351,18.9,26.2,0.72,13.4,43.7,16.8,6.07,4.62,13.1,18.9
5,Alabama A&M,29,10,19,0.345,-19.59,-9.59,,6,10,,8,9,,2,10,,74.9,79.7,,40.7,25.5,62.5,0.408,8.03,25.5,0.315,15.9,24.0,0.662,14.6,37.7,13.7,8.55,4.1,16.2,22.0
6,Alabama State,29,14,15,0.483,-9.67,-8.45,,10,6,,8,3,,4,10,,74.6,74.0,,40.2,26.1,63.7,0.41,8.97,27.4,0.327,13.4,19.4,0.691,11.6,36.0,11.5,7.59,2.9,9.07,18.7
7,Albany (NY),31,16,15,0.516,-8.91,-7.98,,8,8,,6,7,,8,7,,74.7,73.5,,40.5,27.4,61.7,0.444,7.03,21.9,0.322,13.0,18.0,0.722,11.7,33.6,12.5,8.32,1.94,10.8,17.5
8,Alcorn State,29,9,20,0.31,-12.66,-4.77,,9,7,,6,3,,3,17,,65.0,72.8,,40.2,23.3,57.4,0.406,5.45,17.0,0.32,12.9,18.0,0.718,12.0,33.9,10.2,6.62,2.72,13.1,17.1
9,American,31,19,12,0.613,-7.73,-6.04,,13,5,,11,2,,5,10,,68.3,67.9,,40.6,23.7,54.1,0.438,8.32,24.5,0.34,12.6,16.6,0.758,7.9,30.4,12.5,6.42,1.87,11.1,18.5
10,Appalachian State,30,17,13,0.567,-1.8,-3.26,,10,8,,10,4,,5,8,,68.2,63.6,,40.2,24.0,54.7,0.439,7.77,22.5,0.346,12.4,19.2,0.648,9.77,37.1,12.7,5.5,3.7,10.9,13.4
