Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,29,15,14,0.517,-5.49,-2.33,7,7,9,4,5,10,70.9,69.9,40.2,23.1,52.1,0.443,5.9,18.6,0.317,17.8,25.3,0.703,9.72,33.2,12.1,8.0,4.21,17.0,17.7
2,Air Force,30,4,26,0.133,-7.18,3.69,1,18,3,13,0,13,62.5,73.4,40.3,26.4,55.0,0.479,7.0,19.5,0.36,13.7,19.5,0.7,9.23,34.2,12.5,6.8,3.3,10.3,17.6
3,Akron,30,24,6,0.8,3.27,-3.84,16,1,15,0,8,4,83.9,74.4,40.2,26.3,61.7,0.427,7.3,23.5,0.311,14.5,20.3,0.713,10.6,34.9,11.9,7.4,2.43,12.6,16.4
4,Alabama,29,23,6,0.793,26.08,15.18,12,4,12,2,8,3,91.0,80.1,40.2,28.5,68.1,0.418,7.17,23.8,0.301,16.0,22.5,0.71,12.6,36.3,12.1,8.0,4.17,10.4,21.1
5,Alabama A&M,29,10,19,0.345,-19.59,-9.59,6,10,8,9,2,10,74.9,79.7,40.7,26.2,57.4,0.456,8.24,21.6,0.381,19.0,27.7,0.687,12.1,38.1,15.2,9.0,3.0,16.6,18.9
6,Alabama State,29,14,15,0.483,-9.67,-8.45,10,6,8,3,4,10,74.6,74.0,40.2,25.3,57.4,0.44,7.69,22.9,0.336,15.8,22.6,0.7,11.2,40.0,12.5,5.14,3.17,13.2,16.3
7,Albany (NY),31,16,15,0.516,-8.91,-7.98,8,8,6,7,8,7,74.7,73.5,40.5,26.3,54.3,0.483,6.71,19.1,0.351,14.3,19.7,0.725,8.45,32.5,13.1,5.68,4.55,14.2,15.8
8,Alcorn State,29,9,20,0.31,-12.66,-4.77,9,7,6,3,3,17,65.0,72.8,40.2,25.2,56.4,0.447,8.66,26.0,0.333,13.7,18.7,0.733,11.2,34.8,15.4,6.93,4.45,12.2,16.1
9,American,31,19,12,0.613,-7.73,-6.04,13,5,11,2,5,10,68.3,67.9,40.6,24.2,53.0,0.456,5.97,18.1,0.33,13.5,19.5,0.694,8.52,32.5,12.1,5.97,2.68,11.8,15.9
10,Appalachian State,30,17,13,0.567,-1.8,-3.26,10,8,10,4,5,8,68.2,63.6,40.2,23.5,60.2,0.391,6.93,23.5,0.295,9.63,13.2,0.73,10.9,35.9,11.5,6.8,3.4,9.53,16.9
11,Arizona,30,20,10,0.667,23.24,12.77,14,5,13,3,6,4,82.2,71.7,40.3,25.2,61.2,0.411,8.47,25.7,0.329,12.9,18.0,0.717,10.7,32.4,13.5,6.67,2.53,12.2,17.9
12,Arizona State,30,13,17,0.433,11.95,13.55,4,15,5,8,3,8,74.8,76.4,40.5,26.9,61.6,0.437,8.0,24.7,0.324,14.6,19.4,0.752,11.3,37.2,14.6,7.73,3.7,11.6,18.2
13,Arkansas,30,18,12,0.6,16.94,11.01,7,10,13,4,4,6,76.1,70.2,40.2,25.0,59.9,0.418,7.43,23.6,0.315,12.7,17.6,0.721,10.3,34.7,12.4,6.63,2.57,12.8,17.1
14,Arkansas State,31,22,9,0.71,6.16,-2.87,13,5,13,2,8,5,79.4,69.2,40.3,24.0,60.0,0.4,6.32,21.0,0.302,15.0,21.5,0.697,11.8,37.5,12.0,6.48,3.42,12.5,16.7
15,Arkansas-Pine Bluff,29,6,23,0.207,-24.55,-7.81,3,13,4,6,2,17,72.8,84.9,40.0,29.0,61.2,0.474,9.69,27.5,0.353,17.1,25.0,0.683,11.7,38.9,17.1,9.21,3.31,12.4,16.4
16,Army,30,16,14,0.533,-11.44,-7.08,10,8,12,4,4,10,73.8,74.8,41.0,27.6,60.4,0.456,8.5,25.4,0.335,11.1,16.0,0.694,10.3,36.8,14.7,6.1,3.03,11.7,15.4
17,Auburn,30,27,3,0.9,30.55,14.82,15,2,13,1,8,2,85.0,69.2,40.0,23.4,57.8,0.405,5.9,19.9,0.296,16.5,22.6,0.729,11.2,33.2,9.4,6.03,2.8,12.0,17.4
18,Austin Peay,33,14,19,0.424,-8.81,-3.1,8,10,8,5,4,13,71.6,74.9,40.5,26.3,56.6,0.465,7.67,20.5,0.374,14.6,20.1,0.727,10.3,37.4,13.6,5.67,4.61,11.8,14.7
19,Ball State,30,14,16,0.467,-7.39,-6.36,7,10,8,7,4,8,75.7,74.0,40.3,26.6,59.9,0.445,7.33,23.8,0.308,13.4,18.5,0.726,9.6,34.1,13.8,6.43,2.8,10.1,20.0
