Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,9,19,0.321,-7.45,2.05,,3.0,15.0,,7,7,,1,11,,65.5,70.9,,,23.0,55.5,0.414,4.86,15.5,0.313,14.6,20.9,0.7,,34.5,10.2,6.36,3.89,13.8,19.5
2,Akron,26,8,18,0.308,-10.69,-5.06,,3.0,15.0,,5,7,,2,10,,62.1,65.7,,,22.3,51.0,0.437,5.15,14.2,0.364,12.3,19.0,0.649,,30.6,12.1,6.27,1.81,13.5,22.0
3,Alabama,29,16,13,0.552,9.66,7.83,,7.0,9.0,,12,3,,2,9,,75.6,73.7,,,27.0,58.3,0.462,5.86,17.4,0.337,15.8,24.2,0.652,,38.5,11.6,6.38,4.14,16.8,18.6
4,Alabama State,27,14,13,0.519,-8.49,-9.7,,9.0,5.0,,9,2,,4,8,,88.1,84.7,,,31.6,65.6,0.481,4.93,13.3,0.37,20.0,28.4,0.705,,38.9,14.6,7.19,1.56,20.6,21.0
5,Alcorn State,27,7,20,0.259,-11.04,-4.58,,5.0,9.0,,3,5,,2,11,,79.0,85.7,,,31.2,67.9,0.459,3.81,11.1,0.344,12.8,17.9,0.713,,37.3,16.4,10.8,3.81,18.7,21.6
6,American,28,11,17,0.393,-0.17,1.15,,6.0,8.0,,6,5,,4,10,,76.1,77.4,,,25.8,60.4,0.428,5.93,16.3,0.365,18.5,25.6,0.725,,38.3,13.7,6.57,2.5,15.6,21.8
7,Appalachian State,28,13,15,0.464,-6.09,-4.27,,8.0,10.0,,8,5,,4,8,,81.3,82.0,,,29.4,65.2,0.452,6.71,21.1,0.318,15.7,23.5,0.669,,37.4,14.9,8.57,4.46,16.8,18.6
8,Arizona NCAA,28,24,4,0.857,20.5,8.28,,17.0,1.0,,14,1,,9,1,,83.6,71.4,,40.0,30.3,61.9,0.488,5.11,14.3,0.357,18.0,26.3,0.684,,43.1,17.4,6.89,4.43,15.9,18.6
9,Arizona State,28,18,10,0.643,9.24,6.99,,11.0,7.0,,13,3,,4,6,,84.5,82.3,,,31.0,71.4,0.434,9.39,27.6,0.341,13.2,21.1,0.624,,34.8,18.3,12.0,3.25,14.6,18.2
10,Arkansas NCAA,31,22,9,0.71,17.72,8.3,,10.0,6.0,,12,3,,7,5,,86.9,77.5,,,32.1,65.8,0.488,6.77,17.2,0.395,16.0,23.3,0.687,,34.4,18.8,11.4,3.13,14.5,22.8
11,Arkansas State,28,16,12,0.571,4.06,0.02,,11.0,7.0,,9,4,,5,6,,70.4,65.5,,,25.8,57.1,0.451,4.39,14.7,0.299,14.4,21.4,0.674,,36.6,14.5,8.29,3.39,17.1,18.9
12,Army,26,4,22,0.154,-19.98,-7.17,,2.0,12.0,,4,8,,0,13,,59.8,72.6,,,21.2,51.1,0.415,3.85,11.0,0.35,13.6,21.2,0.639,,32.4,11.5,4.92,2.04,17.1,21.9
13,Auburn,27,15,12,0.556,8.92,6.96,,8.0,8.0,,9,3,,5,8,,80.4,76.2,,,30.2,60.3,0.501,5.96,15.3,0.39,14.1,20.0,0.704,,35.9,15.7,6.15,2.78,16.0,17.7
14,Austin Peay,27,7,20,0.259,-13.85,-1.43,,4.0,12.0,,5,7,,1,11,,69.0,80.5,,,24.7,56.1,0.441,4.11,12.1,0.338,15.5,22.9,0.679,,33.5,12.4,6.15,1.7,17.6,18.7
15,Ball State NCAA,34,26,8,0.765,1.32,-4.68,,14.0,4.0,,16,1,,4,6,,71.2,64.3,,,24.6,52.7,0.466,4.21,11.1,0.38,17.9,25.7,0.696,,35.3,13.6,5.85,2.53,14.9,16.3
16,Baylor,27,16,11,0.593,2.99,1.83,,7.0,7.0,,11,3,,5,7,,87.1,83.9,,,29.6,64.5,0.459,7.96,22.0,0.361,20.0,30.1,0.662,,44.2,18.4,7.52,5.48,16.0,23.1
17,Bethune-Cookman,27,3,24,0.111,-23.18,-8.77,,2.0,14.0,,2,7,,1,15,,64.0,78.6,,,25.1,59.1,0.425,3.56,11.1,0.319,10.2,18.2,0.562,,35.6,14.3,8.33,1.85,19.1,19.7
18,Boise State NCAA,29,21,8,0.724,0.35,-4.28,,10.0,4.0,,13,2,,6,5,,75.5,69.7,,,26.9,56.7,0.474,4.17,13.4,0.311,17.6,24.6,0.718,,34.8,14.6,8.62,3.76,16.0,20.6
19,Boston College,31,18,13,0.581,11.88,7.46,,9.0,9.0,,11,6,,6,7,,71.5,67.0,,,25.7,53.8,0.477,5.81,14.6,0.396,14.3,19.2,0.746,,33.1,14.5,6.32,2.16,13.9,16.8
20,Boston University,27,6,21,0.222,-16.04,-5.22,,3.0,11.0,,5,9,,1,11,,69.6,80.4,,,25.1,60.9,0.412,4.44,13.4,0.331,15.0,22.6,0.666,,35.9,14.3,6.85,3.22,16.4,22.0
21,Bowling Green State,27,11,16,0.407,-4.0,-0.85,,8.0,10.0,,7,4,,3,11,,64.8,66.7,,,23.8,51.3,0.464,5.15,14.5,0.355,12.0,18.1,0.661,,30.1,13.1,5.44,1.93,13.3,17.9
22,Bradley,27,11,16,0.407,-0.92,1.12,,7.0,11.0,,8,5,,3,10,,60.1,61.3,,,22.7,49.0,0.462,2.37,7.44,0.318,12.4,18.9,0.658,,31.8,12.5,7.41,3.37,15.7,18.3
23,Brigham Young NCAA,34,25,9,0.735,12.5,4.09,,15.0,3.0,,13,1,,8,3,,81.0,71.9,,,27.9,56.0,0.498,4.74,13.0,0.363,20.5,26.7,0.767,,38.9,18.0,6.29,3.74,16.6,21.2
24,Brown,26,7,19,0.269,-15.84,-5.81,,2.0,12.0,,4,6,,3,12,,62.1,72.1,,,22.1,52.8,0.419,4.35,13.7,0.318,13.5,21.3,0.632,,31.8,11.8,5.96,3.27,14.7,21.2
25,Bucknell,29,23,6,0.793,-0.11,-8.57,,13.0,1.0,,14,1,,8,5,,81.0,71.8,,,30.0,64.5,0.466,5.21,14.6,0.358,15.8,23.2,0.679,,36.6,14.7,11.2,4.14,13.4,16.7
26,Buffalo,27,5,22,0.185,-18.75,-5.45,,,,,3,10,,2,12,,66.0,79.3,,,25.5,63.1,0.404,2.48,9.93,0.25,12.4,20.1,0.616,,35.3,10.8,10.5,2.96,20.0,23.9
27,Butler,28,11,17,0.393,-1.51,3.2,,5.0,9.0,,8,4,,1,11,,67.8,70.9,,,24.5,55.9,0.438,4.5,14.9,0.303,14.4,20.7,0.695,,34.6,12.3,5.79,1.11,16.5,19.9
28,Cal State Fullerton,27,15,12,0.556,3.13,2.2,,10.0,8.0,,10,3,,5,9,,71.7,70.1,,,25.5,55.7,0.458,5.07,12.9,0.394,15.6,23.9,0.654,,34.0,13.5,7.78,4.59,14.3,19.2
29,Cal State Northridge,27,10,17,0.37,-8.55,-2.47,,,,,7,3,,2,12,,68.0,72.1,,,24.2,56.8,0.426,6.74,19.5,0.345,12.9,19.5,0.658,,30.8,12.6,8.96,1.07,14.6,21.0
30,California NCAA,30,21,9,0.7,12.79,7.26,,12.0,6.0,,9,3,,8,3,,79.3,73.8,,,29.2,61.8,0.473,4.5,14.5,0.311,16.4,24.6,0.665,,37.9,17.1,9.47,3.27,16.6,20.2
31,Campbell,27,12,15,0.444,-13.72,-10.14,,10.0,6.0,,7,6,,5,7,,71.2,73.6,,,25.9,57.8,0.449,8.44,22.0,0.384,10.9,16.5,0.661,,32.1,17.0,6.22,2.56,12.8,17.6
32,Canisius,28,10,18,0.357,-6.53,-2.1,,5.0,9.0,,6,6,,3,11,,63.4,67.9,,40.0,22.8,55.5,0.411,5.89,18.3,0.322,11.9,16.8,0.707,,32.5,13.4,9.29,3.0,17.8,17.3
33,Centenary (LA),27,9,18,0.333,-14.66,-7.35,,4.0,8.0,,7,6,,1,11,,84.1,87.4,,,29.6,70.4,0.42,7.89,23.2,0.34,17.1,25.6,0.667,,37.7,15.9,14.1,2.3,16.6,23.2
