Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,10,16,0.385,-4.0,2.52,2.0,12.0,8,7,1,9,76.2,80.2,40.0,24.2,65.5,0.369,8.96,28.4,0.316,18.8,26.9,0.7,17.0,41.8,10.8,8.04,3.04,14.5,22.5
2,Akron,27,18,9,0.667,5.09,1.06,12.0,6.0,10,3,8,6,75.2,70.6,40.4,25.0,55.4,0.452,5.93,16.3,0.364,19.2,25.6,0.75,11.2,32.6,14.3,8.04,2.56,13.4,17.1
3,Alabama,32,17,15,0.531,5.85,6.79,6.0,10.0,11,3,2,10,67.0,68.0,,24.4,56.6,0.432,4.19,12.5,0.335,13.9,19.6,0.712,13.9,38.0,12.0,7.28,3.59,16.8,19.6
4,Alabama A&M,27,10,17,0.37,,,,,6,4,2,12,77.3,84.4,,26.4,70.3,0.376,7.26,23.4,0.311,17.3,26.7,0.646,16.9,42.1,12.1,10.6,3.52,,22.7
5,Alabama State,27,11,16,0.407,-15.25,-9.77,8.0,8.0,8,6,3,10,67.2,70.0,40.2,22.9,55.4,0.414,4.59,14.7,0.312,16.8,26.0,0.644,15.0,38.7,11.0,9.0,2.3,19.3,18.0
6,Alcorn State NCAA,30,23,7,0.767,-2.76,-10.43,14.0,2.0,12,0,10,6,75.8,66.8,,26.5,63.4,0.419,6.2,19.2,0.323,16.5,25.7,0.642,18.4,45.5,13.5,11.0,3.93,19.3,19.8
7,American,28,7,21,0.25,-8.9,-1.55,2.0,14.0,3,10,3,10,64.5,69.7,,23.7,60.5,0.391,4.25,14.3,0.298,12.9,20.2,0.636,16.3,40.4,11.5,8.39,3.57,18.8,17.6
8,Appalachian State,29,21,8,0.724,-0.5,-5.35,13.0,3.0,12,2,7,5,74.8,66.1,,26.8,57.3,0.467,4.72,12.8,0.369,16.5,24.6,0.671,12.6,37.1,16.0,10.6,3.52,15.8,18.8
9,Arizona NCAA,29,22,7,0.759,15.31,8.35,13.0,5.0,14,0,5,6,82.2,75.2,40.2,28.3,60.5,0.468,4.93,14.1,0.35,20.7,29.1,0.71,15.1,41.7,14.4,7.34,3.21,16.8,18.0
10,Arizona State,30,14,16,0.467,9.06,8.27,6.0,12.0,9,7,4,7,74.5,72.2,41.0,26.8,60.7,0.442,5.9,17.7,0.333,15.0,21.6,0.696,12.9,36.7,17.1,8.3,2.57,15.3,19.8
11,Arkansas NCAA,34,23,11,0.676,12.97,6.14,9.0,7.0,14,2,4,6,78.7,71.9,40.1,28.8,64.9,0.444,8.71,23.8,0.366,12.3,18.6,0.663,14.3,37.2,16.6,9.76,4.32,14.5,18.6
12,Arkansas State NCAA,30,18,12,0.6,3.32,-0.72,9.0,5.0,9,3,6,8,73.5,68.7,40.0,26.6,58.3,0.457,5.3,16.3,0.326,15.0,21.8,0.689,12.0,34.3,14.9,8.83,3.43,15.0,19.3
13,Arkansas-Pine Bluff,27,3,24,0.111,-27.13,-8.0,1.0,15.0,2,9,1,14,66.4,82.8,,25.4,65.2,0.389,4.41,16.6,0.266,11.3,19.0,0.591,14.0,37.3,12.3,9.07,3.48,17.9,19.8
14,Army,27,8,19,0.296,-22.46,-6.62,4.0,8.0,7,4,1,15,59.8,72.9,40.0,21.1,54.1,0.39,4.93,15.3,0.322,12.7,17.7,0.717,9.41,31.1,11.3,7.67,2.59,17.9,21.8
15,Auburn NCAA,33,29,4,0.879,24.6,5.0,14.0,2.0,15,0,10,2,81.2,61.6,40.0,29.5,68.0,0.434,7.09,20.4,0.348,15.1,23.2,0.65,19.5,44.0,14.0,9.91,3.39,12.9,19.0
16,Austin Peay,27,11,16,0.407,-7.84,-4.92,9.0,9.0,8,4,3,12,72.6,75.4,40.0,26.3,57.3,0.46,6.22,18.2,0.342,13.7,20.6,0.662,12.9,35.5,13.7,6.89,3.44,16.5,17.1
