Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
1,Abilene Christian,30,13,17,0.433,-2.79,0.9,5.0,11.0,9,5,4,8,75.0,71.1,40.3,24.2,50.9,0.476,6.27,17.2,0.364,16.4,22.9,0.715,8.0,33.6,12.5,5.57,3.27,17.7,19.1
2,Air Force,32,14,18,0.438,2.0,2.12,5.0,13.0,10,9,4,9,66.9,67.1,40.5,23.9,53.7,0.445,5.19,17.7,0.293,14.1,18.9,0.748,9.16,32.4,10.1,5.72,3.09,11.0,17.0
3,Akron,33,22,11,0.667,4.19,-1.65,13.0,5.0,15,1,5,6,74.6,66.9,40.3,24.3,56.8,0.428,6.94,20.3,0.342,11.4,15.5,0.734,8.97,32.8,11.2,5.76,3.0,12.3,18.4
4,Alabama NCAA,37,31,6,0.838,23.19,9.65,16.0,2.0,15,0,9,3,81.8,68.3,40.8,23.9,64.5,0.371,5.46,19.3,0.283,15.0,21.1,0.711,12.2,37.4,9.84,7.24,3.84,11.7,19.9
5,Alabama A&M,33,15,18,0.455,-10.78,-7.71,10.0,8.0,9,8,5,8,69.6,70.9,40.5,23.7,55.8,0.424,7.61,22.3,0.341,16.0,22.5,0.709,12.1,35.7,12.7,7.82,3.48,15.5,17.6
6,Alabama State,31,8,23,0.258,-16.33,-6.29,6.0,12.0,5,5,2,18,63.3,72.6,40.2,25.8,59.3,0.436,6.97,20.5,0.34,14.0,20.4,0.687,12.1,38.2,11.8,7.03,4.94,12.2,16.5
7,Albany (NY),31,8,23,0.258,-14.36,-4.53,3.0,13.0,5,6,2,16,67.3,75.2,40.2,27.0,55.0,0.491,6.48,18.4,0.352,14.8,20.3,0.729,8.26,33.5,14.5,6.55,3.58,11.7,16.4
8,Alcorn State,32,18,14,0.563,-8.74,-5.81,15.0,3.0,7,2,10,10,67.7,70.6,40.7,24.3,54.4,0.447,7.28,22.1,0.33,14.7,21.3,0.688,10.1,33.7,14.3,5.72,3.41,14.5,17.7
9,American,32,17,15,0.531,-8.26,-7.73,7.0,11.0,8,6,9,9,65.4,65.9,40.6,23.6,52.0,0.453,6.75,17.5,0.385,12.1,16.7,0.723,8.59,29.1,12.3,8.25,2.34,12.2,15.2
10,Appalachian State,32,16,16,0.5,-1.5,-0.98,9.0,9.0,10,7,6,7,70.3,64.6,40.3,23.5,58.4,0.403,7.34,22.8,0.322,10.2,14.3,0.715,10.1,36.0,11.8,6.0,2.38,12.5,16.0
