Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Georgetown,Big East,,35,3,74.3,57.3,17.05,,5.77,,6.68,14.21,20.89,,,
2,Illinois,Big Ten,,26,9,68.9,57.2,11.69,,8.14,,1.87,16.98,18.85,,,
3,Michigan,Big Ten,,26,4,78.2,68.6,9.60,,8.67,,13.23,5.38,18.60,,,
4,Duke,ACC,,23,8,78.9,67.9,11.00,,7.38,,15.41,2.97,18.38,,,
5,Oklahoma,Big 8,,31,6,89.9,75.6,14.35,,5.64,,22.13,-4.01,18.12,,,
6,St. John's (NY),Big East,,31,4,75.7,64.7,11.03,,7.07,,10.56,7.54,18.09,,,
7,Iowa,Big Ten,,21,11,70.2,58.8,11.41,,6.84,,4.26,12.43,16.68,,,
8,Georgia Tech,ACC,,27,8,69.9,60.9,9.03,,7.42,,4.52,11.94,16.45,,,
9,Georgia,SEC,,22,9,76.7,66.8,9.90,,7.17,,11.62,4.03,15.65,,,
10,North Carolina,ACC,,27,9,73.5,66.0,7.53,,8.13,,8.11,7.22,15.33,,,
11,Indiana,Big Ten,,19,14,71.2,65.5,5.64,,9.60,,8.24,7.00,15.23,,,
12,NC State,ACC,,23,10,73.3,65.0,8.24,,6.78,,6.74,8.28,15.02,,,
13,Memphis,Metro,,31,4,72.9,63.7,9.29,,5.73,,6.45,8.48,14.93,,,
14,Alabama,SEC,,23,10,67.4,60.1,7.30,,7.15,,2.23,12.23,14.46,,,
15,Virginia Commonwealth,Sun Belt,,26,6,72.3,62.7,9.63,,4.61,,5.62,8.62,14.24,,,
16,Maryland,ACC,,25,12,70.3,65.0,5.35,,8.47,,5.09,8.83,13.92,,,
17,Virginia Tech,Metro,,20,9,80.7,69.3,11.38,,2.41,,12.54,1.29,13.84,,,
18,Michigan State,Big Ten,,19,10,72.2,66.2,5.97,,7.70,,7.40,6.31,13.70,,,
19,Purdue,Big Ten,,20,9,69.3,64.6,4.66,,10.01,,4.93,8.69,13.62,,,
20,Ohio State,Big Ten,,20,10,77.3,73.0,4.33,,8.25,,14.09,-1.51,12.58,,,
21,Syracuse,Big East,,22,9,73.0,67.9,5.13,,7.05,,7.79,4.39,12.17,,,
22,DePaul,Ind,,19,10,71.6,63.3,8.34,,4.82,,4.84,7.20,12.04,,,
23,Villanova,Big East,,25,10,68.7,63.9,4.74,,7.29,,3.08,8.95,12.03,,,
24,Louisiana State,SEC,,19,10,73.4,69.4,4.00,,8.00,,7.62,4.38,12.00,,,
25,Washington,Pac-10,,22,10,64.9,58.8,6.09,,5.88,,0.30,11.67,11.98,,,
26,Kansas,Big 8,,26,8,75.4,69.4,5.97,,6.27,,7.78,4.06,11.83,,,
27,Florida,SEC,,18,12,73.7,68.2,5.47,,7.87,,7.36,4.30,11.66,,,
28,Southern Methodist,SWC,,23,10,75.5,67.5,7.97,,3.33,,7.17,4.42,11.58,,,
29,Kentucky,SEC,,18,13,65.7,63.7,1.97,,9.57,,1.37,10.17,11.54,,,
30,Tulsa,MVC,,23,8,81.5,72.9,8.61,,3.75,,11.20,0.06,11.25,,,
31,Louisiana Tech,Southland,,29,3,77.9,65.1,12.81,,-1.36,,5.91,5.28,11.19,,,
32,Auburn,SEC,,22,12,70.3,65.2,5.06,,7.92,,4.94,6.23,11.17,,,
33,Arizona,Pac-10,,21,10,68.5,60.3,8.23,,4.44,,0.53,10.52,11.05,,,
34,Boston College,Big East,,20,11,74.8,68.0,6.74,,6.24,,7.14,3.85,11.00,,,
35,Notre Dame,Ind,,21,9,69.8,62.3,7.43,,3.66,,3.32,7.64,10.96,,,
36,UCLA,Pac-10,,21,12,69.2,63.5,5.70,,5.12,,4.20,6.48,10.68,,,
37,Loyola (IL),MW City,,27,6,83.5,77.3,6.21,,4.07,,16.68,-6.40,10.29,,,
38,Texas Tech,SWC,,23,8,69.0,63.0,5.94,,4.17,,0.88,9.19,10.07,,,
39,Wake Forest,ACC,,15,14,73.1,68.7,4.41,,6.98,,7.40,2.51,9.91,,,
40,Arkansas,SWC,,22,13,65.3,61.7,3.60,,6.19,,-0.62,10.42,9.79,,,
41,Nevada-Las Vegas,PCAA,,28,4,80.5,70.4,10.03,,0.17,,12.68,-2.98,9.70,,,
42,Tennessee,SEC,,22,15,74.6,72.1,2.49,,7.16,,9.67,-0.03,9.65,,,
43,UAB,Sun Belt,,25,9,67.7,62.4,5.24,,5.17,,-1.24,10.51,9.26,,,
44,Dayton,Ind,,19,10,68.8,64.1,4.69,,4.55,,2.47,6.78,9.24,,,
45,Wichita State,MVC,,18,13,76.3,70.8,5.52,,4.33,,7.74,1.40,9.13,,,
46,Iowa State,Big 8,,21,13,75.1,67.6,7.50,,5.61,,3.37,5.51,8.87,,,
47,Mississippi State,SEC,,13,15,64.6,64.0,0.57,,9.08,,0.24,8.50,8.73,,,
48,Southern California,Pac-10,,19,10,67.9,64.4,3.55,,5.14,,3.25,5.44,8.69,,,
49,Illinois State,MVC,,22,8,70.4,65.0,5.33,,3.21,,1.58,7.08,8.66,,,
50,Florida State,Metro,,14,16,76.7,71.8,4.93,,7.73,,9.75,-1.10,8.65,,,
51,Oregon State,Pac-10,,22,9,63.3,57.7,5.61,,4.26,,-2.21,10.67,8.46,,,
52,UTEP,WAC,,22,10,73.8,67.3,6.53,,1.46,,3.85,4.36,8.20,,,
53,Clemson,ACC,,16,13,75.0,71.0,4.00,,5.53,,8.01,0.05,8.06,,,
54,Virginia,ACC,,17,16,61.2,59.6,1.67,,8.23,,-4.38,12.41,8.03,,,
55,Louisville,Metro,,19,18,69.9,69.8,0.14,,8.20,,3.06,4.65,7.71,,,
56,Temple,A-10,,25,6,62.9,56.0,6.94,,0.67,,-3.48,11.15,7.67,,,
57,Marquette,Ind,,20,11,66.3,60.6,5.74,,1.85,,-1.24,8.83,7.59,,,
58,Old Dominion,Sun Belt,,19,12,74.2,71.8,2.45,,6.10,,8.33,-0.89,7.43,,,
59,Pittsburgh,Big East,,17,12,70.7,67.3,3.38,,5.61,,2.95,4.25,7.20,,,
60,Texas A&M,SWC,,19,11,69.0,64.6,4.40,,3.71,,1.58,5.61,7.19,,,
61,San Diego State,WAC,,23,8,80.4,72.3,8.16,,-1.01,,10.90,-3.75,7.15,,,
62,Navy,ECACS,,26,6,78.4,65.3,13.03,,-3.79,,7.01,-0.03,6.97,,,
63,Lamar,Southland,,20,12,75.1,67.6,7.44,,-0.62,,4.56,2.10,6.66,,,
64,Miami (OH),MAC,,20,11,72.8,68.0,4.87,,2.40,,3.96,2.68,6.64,,,
65,South Florida,Sun Belt,,18,12,68.3,63.4,4.90,,1.64,,-0.55,7.09,6.54,,,
66,Missouri,Big 8,,18,14,72.1,69.7,2.38,,5.67,,2.97,3.43,6.40,,,
67,Nebraska,Big 8,,16,14,71.8,69.0,2.87,,5.34,,2.01,4.25,6.26,,,
68,Weber State,Big Sky,,20,9,76.9,66.6,10.28,,-2.28,,5.45,0.70,6.15,,,
69,Western Kentucky,Sun Belt,,14,14,70.3,65.0,5.21,,2.23,,2.05,4.11,6.15,,,
70,Santa Clara,WCAC,,20,9,73.1,65.6,7.52,,0.34,,5.29,0.81,6.10,,,
71,South Alabama,Sun Belt,,15,13,76.8,70.8,6.04,,1.02,,6.66,-0.64,6.02,,,
72,Louisiana,Ind,,17,14,75.0,67.9,7.06,,0.79,,5.09,0.67,5.76,,,
73,Minnesota,Big Ten,,13,15,66.6,69.4,-2.79,,8.75,,2.90,2.67,5.57,,,
74,Bradley,MVC,,17,13,70.0,68.6,1.47,,4.34,,1.26,4.11,5.37,,,
75,Tulane,Metro,,15,13,62.4,60.9,1.54,,4.00,,-6.35,11.61,5.26,,,
76,Houston,SWC,,16,14,77.8,75.4,2.33,,4.94,,11.45,-6.21,5.24,,,
77,Oral Roberts,MW City,,15,15,74.9,73.3,1.67,,3.99,,6.44,-1.21,5.23,,,
78,Jacksonville,Sun Belt,,15,14,68.6,65.9,2.69,,3.18,,1.06,3.94,5.00,,,
79,West Virginia,A-10,,20,9,67.0,62.6,4.48,,0.97,,0.76,4.14,4.90,,,
80,Ohio,MAC,,22,8,67.1,62.9,4.23,,0.88,,-4.26,9.14,4.88,,,
81,TCU,SWC,,16,12,69.8,64.0,5.75,,2.84,,-1.31,6.03,4.72,,,
82,Richmond,ECACS,,21,11,68.3,62.6,5.72,,-1.23,,-1.26,5.65,4.39,,,
83,Kansas State,Big 8,,14,14,68.2,66.6,1.54,,3.29,,-0.72,5.05,4.33,,,
84,Fresno State,PCAA,,23,9,59.6,53.0,6.56,,-0.24,,-10.37,14.58,4.21,,,
85,Cincinnati,Metro,,17,14,63.7,65.5,-1.81,,6.83,,-1.32,5.53,4.20,,,
86,Saint Joseph's,A-10,,19,12,64.8,61.5,3.29,,0.97,,-3.38,7.58,4.19,,,
87,Xavier,MW City,,16,13,71.9,69.6,2.28,,2.62,,3.10,1.09,4.19,,,
88,Detroit Mercy,MW City,,16,12,74.0,73.2,0.79,,3.89,,5.59,-1.44,4.15,,,
89,Oregon,Pac-10,,15,16,61.8,61.9,-0.10,,5.27,,-2.39,6.49,4.09,,,
90,Oklahoma State,Big 8,,12,16,73.7,73.7,-0.04,,4.61,,6.20,-2.28,3.92,,,
91,Texas,SWC,,15,13,65.4,63.8,1.64,,4.15,,-3.47,7.38,3.91,,,
92,Southern Illinois,MVC,,14,14,73.0,71.8,1.18,,3.62,,4.53,-0.76,3.77,,,
93,Vanderbilt,SEC,,11,17,70.5,72.4,-1.93,,5.69,,4.67,-0.91,3.76,,,
94,Nevada,Big Sky,,21,10,77.9,70.4,7.55,,0.96,,8.14,-4.38,3.75,,,
95,Connecticut,Big East,,13,15,71.1,71.2,-0.07,,3.67,,3.21,0.39,3.60,,,
96,Wisconsin,Big Ten,,14,14,70.3,71.9,-1.64,,7.35,,3.45,0.06,3.51,,,
97,Pepperdine,WCAC,,23,9,75.8,71.0,4.84,,-1.26,,6.15,-2.66,3.49,,,
98,New Mexico,WAC,,19,13,70.4,66.8,3.63,,0.50,,0.77,2.61,3.37,,,
99,Creighton,MVC,,20,12,74.3,73.2,1.19,,5.37,,4.57,-1.29,3.29,,,
100,Iona,MAAC,,26,5,74.6,67.5,7.19,,-3.87,,2.54,0.66,3.19,,,
101,Murray State,OVC,,19,9,66.9,60.0,6.86,,-4.08,,-3.54,6.00,2.46,,,
102,Toledo,MAC,,16,12,69.3,67.1,2.18,,0.83,,-1.08,3.54,2.46,,,
103,George Washington,A-10,,14,14,69.7,64.4,5.32,,-1.66,,0.99,1.42,2.41,,,
104,Northeastern,ECACN,,22,9,79.0,69.4,9.61,,-4.48,,6.10,-3.72,2.38,,,
105,Montana,Big Sky,,22,8,68.4,61.0,7.33,,-1.93,,-2.84,5.17,2.34,,,
106,South Carolina,Metro,,15,13,74.7,73.8,0.86,,2.97,,5.55,-3.38,2.17,,,
107,Indiana State,MVC,,14,15,78.1,77.7,0.48,,4.44,,8.42,-6.30,2.13,,,
108,California,Pac-10,,13,15,62.1,61.8,0.25,,4.32,,-4.94,7.01,2.08,,,
109,Alcorn State,SWAC,,23,7,85.2,76.2,9.00,,-5.58,,8.84,-6.84,2.00,,,
110,Kent State,MAC,,17,13,71.7,70.2,1.47,,1.21,,2.30,-0.33,1.97,,,
