Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Duke,ACC,,2,27,3,83.5,61.1,22.40,,8.95,,14.68,16.67,31.35,130.62,84.72,45.89
2,Auburn,SEC,,1,27,3,85.0,69.2,15.73,,14.82,,18.99,11.56,30.55,131.58,88.64,42.94
3,Houston,Big 12,,3,26,4,74.5,58.0,16.47,,12.15,,7.68,20.93,28.62,125.69,82.30,43.38
4,Florida,SEC,,5,25,4,83.8,67.2,16.59,,10.14,,16.03,10.70,26.73,125.86,88.31,37.55
5,Alabama,SEC,,7,23,6,91.0,80.1,10.90,,15.18,,24.48,1.60,26.08,127.64,92.06,35.58
6,Tennessee,SEC,,4,24,5,74.5,61.3,13.21,,12.09,,5.43,19.87,25.29,119.38,82.68,36.70
7,Gonzaga,WCC,,,23,8,87.6,70.0,17.58,,6.40,,17.83,6.15,23.98,125.62,92.29,33.34
8,Texas Tech,Big 12,,9,22,7,80.6,66.8,13.79,,10.01,,13.12,10.68,23.80,126.21,91.34,34.87
9,Arizona,Big 12,,24,20,10,82.2,71.7,10.47,,12.77,,15.79,7.45,23.24,123.03,90.29,32.74
10,Maryland,Big Ten,,13,22,7,82.1,66.9,15.28,,7.76,,12.47,10.56,23.04,120.38,88.75,31.63
11,Iowa State,Big 12,,10,22,8,80.4,67.9,12.47,,10.28,,12.24,10.50,22.74,120.21,88.17,32.05
12,Kentucky,SEC,,19,20,10,85.6,76.8,8.83,,13.84,,18.43,4.24,22.67,126.63,95.22,31.41
13,Illinois,Big Ten,,,19,11,83.6,73.3,10.23,,12.04,,16.85,5.43,22.27,122.83,92.18,30.65
14,Michigan State,Big Ten,,8,24,5,78.0,66.6,11.34,,10.90,,9.63,12.62,22.24,119.59,88.10,31.49
15,Purdue,Big Ten,,18,21,9,78.2,70.0,8.17,,13.67,,11.04,10.79,21.84,126.29,94.98,31.31
16,Wisconsin,Big Ten,,12,22,7,81.2,70.6,10.66,,10.93,,12.83,8.76,21.59,123.92,93.37,30.55
17,Missouri,SEC,,15,21,8,84.6,71.8,12.83,,8.47,,15.26,6.04,21.29,126.63,96.59,30.04
18,Kansas,Big 12,,,19,11,75.2,67.6,7.63,,13.29,,9.19,11.74,20.92,117.20,86.94,30.26
19,St. John's (NY),Big East,,6,26,4,78.4,65.7,12.70,,8.12,,10.02,10.81,20.82,114.56,85.38,29.18
20,Texas A&M,SEC,,22,21,9,74.1,67.6,6.50,,13.85,,7.24,13.11,20.35,118.15,88.74,29.40
21,Brigham Young,Big 12,,23,22,8,81.2,70.0,11.27,,8.80,,13.31,6.76,20.07,123.89,95.25,28.64
22,Michigan,Big Ten,,17,22,7,79.6,71.4,8.17,,11.84,,12.30,7.71,20.01,118.14,90.65,27.49
23,Marquette,Big East,,20,22,7,77.1,66.8,10.24,,9.57,,9.68,10.13,19.81,119.60,91.44,28.15
24,UCLA,Big Ten,,,21,9,74.4,65.1,9.27,,10.04,,5.41,13.90,19.31,118.90,91.15,27.75
25,Louisville,ACC,,14,23,6,79.5,69.2,10.28,,9.01,,11.13,8.16,19.29,119.64,92.52,27.12
26,Baylor,Big 12,,,18,12,77.3,69.5,7.77,,12.99,,10.37,8.80,19.16,123.36,95.96,27.41
27,Clemson,ACC,,11,24,5,77.4,66.2,11.21,,7.83,,8.02,11.03,19.04,121.66,93.34,28.33
28,Ohio State,Big Ten,,,17,13,79.7,73.7,6.07,,12.77,,12.25,6.59,18.84,120.44,94.19,26.24
